No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
232,IBM,International Business Machines Corp.,Technology,Diversified Computer Systems,USA,227013.24,14.45,11.95,1.36,2.14,11.09,20.29,18.75,1.71%,22.08%,13.75,13.37%,9.84%,16.60%,10.62%,3.18%,11.35%,-3.31%,1142.78,1141.73,0.06%,-10.45%,59.77%,-1.20%,1.27%,3.76,14.32%,74.65%,21.93%,1.22,1.15,1.21,1.58,47.40%,20.07%,15.34%,0.18%,4.54%,1.36%,3.33%,27.01%,9.37%,0.67,2.58,0.97%,1.15%,0.91%,2.62%,3.06%,-1.66%,9.71%,-4.92%,28.11%,56.17,-1.16%,0.24%,2.5,3861.81,0.77,198.65,-0.92%,2956846,7/18/12 16:30
233,ICE,"IntercontinentalExchange, Inc.",Financial,Diversified Investments,USA,9778.22,17.94,15.41,1.06,7.06,2.9,9.04,14.67,,0.00%,7.49,28.97%,12.08%,23.47%,16.98%,33.44%,19.23%,7.99%,72.76,70.91,0.65%,-22.84%,92.48%,-0.19%,1.35%,1.92,1.59%,17.13%,13.80%,1.03,,0.24,0.26,,60.64%,40.62%,1.37%,2.45%,7.79%,0.93%,26.50%,11.48%,1.05,2.7,1.71%,2.12%,1.34%,1.12%,4.82%,-5.21%,6.96%,-5.86%,27.61%,53.94,-0.82%,-0.09%,2.1,495.8,0.6,134.39,-0.91%,299684,8/1/12 8:30
234,IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,USA,5023.24,18.35,14.27,2.79,1.8,4.11,48,55.99,2.21%,36.64%,3.36,-0.01%,8.27%,5.60%,6.57%,5.88%,15.82%,0.80%,81.48,80.03,0.54%,22.22%,82.65%,-0.30%,3.12%,4.81,9.16%,22.79%,11.30%,2.69,1.63,0.64,0.71,39.77%,13.83%,9.90%,0.88%,14.27%,8.60%,8.56%,18.13%,18.90%,0.88,1.12,1.35%,2.07%,6.16%,9.67%,10.65%,-2.50%,16.25%,-2.50%,22.46%,68.49,-0.79%,0.05%,2.5,518.7,0.69,61.65,-0.74%,355664,8/8/12 8:30
235,IGT,International Game Technology,Technology,Multimedia & Graphics Software,USA,3151.78,15.95,10.09,1.27,1.53,2.9,10.43,15.88,2.03%,31.80%,0.74,32.22%,18.18%,-6.21%,12.58%,-4.87%,-47.80%,8.96%,267.1,238.5,0.06%,45.35%,92.67%,-2.73%,6.61%,3.49,5.26%,17.14%,6.07%,2.04,1.86,1.77,1.77,56.70%,20.84%,10.66%,3.06%,-20.70%,-16.67%,-17.37%,-13.81%,-30.87%,1.55,0.39,1.89%,3.38%,2.06%,-13.99%,-23.02%,-26.57%,8.06%,-34.33%,8.06%,38.87,0.25%,0.17%,2.3,4507.94,0.54,11.8,0.43%,2432768,7/24/12
236,INTC,Intel Corporation,Technology,Semiconductor - Broad Line,USA,130628.33,11.06,10.24,1.03,2.4,2.68,9.57,25.03,3.45%,34.12%,2.36,18.84%,6.69%,22.76%,10.72%,8.82%,0.16%,3.60%,5003,4999.06,0.04%,70.87%,63.16%,0.87%,2.93%,4.15,17.90%,25.42%,21.09%,2.45,1.98,0.15,0.15,63.80%,30.83%,22.73%,-1.40%,4.27%,1.20%,-0.76%,39.18%,10.26%,1.09,0.46,1.22%,1.55%,0.23%,0.32%,1.15%,-5.09%,6.70%,-10.01%,40.81%,48.44,-0.84%,0.38%,2.4,35257.17,0.89,26.11,-0.46%,31373196,7/17/12 16:30
237,INTU,Intuit Inc.,Technology,Application Software,USA,17311.85,24.46,17.54,1.62,4.17,6.11,11.37,18.46,1.02%,18.33%,2.41,20.59%,13.13%,13.61%,15.07%,10.93%,10.21%,5.25%,293.67,277.58,0.15%,-48.81%,90.46%,0.71%,2.45%,3.85,13.69%,25.85%,20.73%,1.47,,0.18,0.18,81.98%,27.56%,17.61%,1.60%,3.26%,5.55%,-2.74%,35.77%,12.97%,0.77,1.05,1.76%,1.68%,0.54%,1.40%,4.48%,-2.42%,6.74%,-4.94%,37.30%,51.82,-1.11%,0.44%,2,1768.62,1.5,58.95,-0.67%,2645381,8/21/12 16:30
238,IP,International Paper Co.,Consumer Goods,Paper & Paper Products,USA,15157.86,13.75,10.28,2.29,0.57,2.27,12.34,15.55,3.03%,42.45%,2.52,99.34%,35.89%,2.42%,6.00%,3.43%,-47.07%,6.45%,437.33,434.09,0.80%,-8.14%,84.02%,-1.07%,2.05%,2.03,3.44%,15.30%,4.20%,1.78,1.27,1.57,1.7,26.27%,4.54%,3.80%,1.61%,8.82%,17.81%,6.48%,53.36%,20.10%,2.21,0.88,2.29%,2.33%,5.27%,12.50%,12.74%,-1.39%,27.50%,-3.42%,66.43%,69.49,-0.05%,0.40%,1.8,4373.46,0.93,34.66,0.35%,4066028,7/26/12 8:30
239,IPG,"The Interpublic Group of Companies, Inc.",Services,Advertising Agencies,USA,5000.77,12.04,11.92,1.17,0.71,2.33,3.03,18.45,2.10%,20.49%,0.95,111.57%,20.00%,7.05%,10.25%,2.53%,11.14%,-1.44%,437.13,434.45,0.58%,-19.65%,94.48%,-1.46%,2.33%,1.3,4.57%,23.41%,12.18%,1.03,,0.51,0.67,,9.91%,7.87%,7.72%,0.88%,7.32%,6.82%,50.92%,18.92%,1.78,0.42,2.75%,3.87%,8.72%,7.20%,8.69%,-5.06%,26.55%,-5.44%,73.00%,61.68,0.53%,0.18%,2.2,7784.76,1.39,11.44,0.70%,10807116,7/26/12 8:30
240,IR,Ingersoll-Rand Plc,Industrial Goods,Diversified Machinery,Ireland,14407.61,18.4,12.91,1.64,1.3,1.98,15.95,20.21,1.37%,19.67%,2.54,-47.27%,13.13%,-13.02%,11.21%,12.97%,225.91%,-6.60%,308.25,307.83,4.93%,-0.32%,82.60%,-10.96%,1.60%,1.61,4.54%,11.18%,5.83%,1.37,1,0.39,0.45,30.10%,10.51%,8.01%,4.54%,15.84%,12.30%,15.41%,73.43%,54.67%,1.76,1.11,2.06%,2.36%,7.72%,12.06%,22.41%,0.13%,21.09%,0.13%,82.86%,74.75,0.02%,0.13%,2.3,3061.22,0.98,46.74,0.15%,2998397,7/20/12 7:00
241,IRM,Iron Mountain Inc.,Technology,Business Software & Services,USA,5664.12,31.43,22.6,2.14,1.88,4.57,33.27,34.34,3.27%,91.29%,1.05,54.39%,10.61%,13.99%,14.68%,5.10%,-28.61%,-0.84%,171.64,161.02,1.19%,1.49%,92.70%,-5.85%,4.04%,3.97,3.21%,11.92%,3.68%,1.14,,2.77,2.82,58.45%,19.48%,6.66%,-1.23%,4.76%,16.32%,8.87%,12.32%,8.95%,0.88,0.5,0.94%,1.47%,0.61%,1.57%,8.75%,-2.40%,6.76%,-2.40%,22.76%,51.62,-0.72%,0.09%,2.2,1636.96,0.57,33,-0.63%,939745,7/26/12 8:30
242,ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Appliances & Equipment,USA,20264.48,36.12,29.1,1.76,10.26,6.36,16.71,30.66,,0.00%,14.05,30.00%,17.44%,45.46%,20.49%,36.36%,28.75%,26.03%,39.93,39.47,0.81%,-23.27%,87.47%,0.09%,3.70%,4.64,18.23%,20.91%,20.23%,4.91,4.57,0,0,72.43%,40.35%,28.96%,-0.46%,6.29%,-3.35%,0.68%,57.88%,9.61%,1.62,11.43,1.66%,1.97%,2.30%,-2.77%,0.83%,-10.96%,8.61%,-14.69%,58.59%,48.72,-1.14%,0.60%,2.6,314.41,0.92,507.5,-0.55%,289925,7/19/12 16:30
243,ITW,Illinois Tool Works Inc.,Industrial Goods,Diversified Machinery,USA,27697.89,14.84,13.04,1.33,1.53,2.75,16.37,21.6,2.57%,35.74%,3.98,41.31%,10.22%,8.20%,11.16%,6.83%,14.89%,0.87%,468.82,465.5,0.09%,-55.68%,80.44%,0.78%,3.24%,4.4,10.28%,18.79%,13.09%,1.92,1.46,0.34,0.49,35.73%,15.67%,10.64%,3.29%,10.29%,8.88%,6.49%,44.63%,28.16%,1.17,1.12,1.75%,2.03%,5.46%,9.45%,12.50%,-1.53%,20.40%,-1.53%,54.19%,67.06,-0.71%,0.37%,2.2,3428.31,0.75,59.08,-0.34%,2583593,7/24/12 8:00
244,IVZ,Invesco Ltd.,Financial,Asset Management,USA,10636.54,15.22,11.65,1.17,2.63,1.3,7.37,14.85,2.89%,34.32%,1.57,56.18%,16.48%,5.73%,13.04%,4.74%,-13.67%,-5.70%,445.23,438.67,0.61%,17.78%,83.95%,-0.07%,1.05%,0.96,3.52%,8.77%,4.42%,1.35,,0.74,0.79,68.02%,21.60%,17.23%,1.83%,13.44%,12.64%,-2.05%,53.14%,21.33%,1.86,0.51,1.51%,2.26%,5.98%,7.96%,7.32%,-0.41%,17.45%,-10.00%,68.88%,67.61,-0.13%,0.50%,1.8,4762.83,0.82,23.89,0.38%,3900636,7/26/12 7:30
245,JBL,Jabil Circuit Inc.,Technology,Printed Circuit Boards,USA,4826.73,11.74,8.48,0.94,0.28,2.4,6.5,3261.3,1.36%,15.79%,2,122.50%,12.15%,17.40%,12.43%,9.98%,1.72%,0.55%,205.48,186.09,3.17%,-15.45%,88.16%,0.09%,2.92%,1.86,5.99%,21.60%,13.16%,1.32,0.73,0.57,0.71,7.73%,3.76%,2.51%,5.24%,16.40%,20.90%,-7.88%,68.87%,20.77%,2.1,0.61,2.24%,2.76%,7.50%,14.96%,8.49%,-0.97%,29.06%,-13.63%,69.83%,72.92,0.47%,0.56%,1.9,2930.12,0.75,23.49,1.03%,2187382,9/25/12
246,JCI,Johnson Controls Inc.,Consumer Goods,Auto Parts,USA,18458.73,10.75,9.21,0.61,0.44,1.59,30.66,,2.67%,27.65%,2.51,7.59%,16.27%,6.13%,17.59%,4.84%,16.89%,2.09%,683.91,682.3,0.02%,17.13%,79.48%,1.18%,2.54%,3.03,6.12%,15.06%,9.75%,1.16,0.94,0.48,0.57,14.99%,5.24%,4.40%,2.90%,10.12%,-10.54%,-21.15%,-4.49%,-12.63%,1.81,0.71,2.10%,2.60%,6.39%,1.78%,-10.65%,-9.43%,15.49%,-24.01%,15.49%,58.31,-1.42%,0.40%,2.3,5717.28,0.75,26.99,-1.03%,4299047,7/19/12 11:00
247,JCP,"J. C. Penney Company, Inc.",Services,Department Stores,USA,5340.91,,16.61,,0.34,1.46,6.01,,,,-2.5,-144.02%,635.00%,-29.36%,19.50%,-2.81%,-1134.27%,-22.63%,218.8,183.44,0.29%,23.32%,,5.16%,30.61%,5.77,-4.64%,-12.90%,-6.00%,1.91,0.7,0.79,0.86,34.11%,-4.19%,-3.46%,6.22%,17.13%,-7.75%,-41.00%,-0.65%,-29.76%,1.8,1.04,3.83%,4.96%,9.21%,10.17%,-22.25%,-3.97%,28.07%,-43.15%,28.07%,63.35,-0.97%,-0.04%,2.7,9734.53,0.89,24.41,-1.01%,8667291,8/10/12 8:30
248,JDSU,JDS Uniphase Corporation,Technology,Communication Equipment,USA,2729.62,,11.67,,1.62,2.68,3.78,,,,-0.25,-181.50%,32.89%,18.31%,10.50%,3.79%,-365.79%,-6.89%,231.52,226.97,0.16%,-13.94%,79.49%,1.09%,4.25%,1.76,-3.02%,-5.49%,-4.20%,2,1.74,0,0.28,42.21%,-1.85%,-3.43%,10.39%,34.28%,15.36%,-15.36%,19.21%,12.93%,2.48,0.46,3.47%,3.93%,13.23%,15.90%,1.82%,-2.16%,39.20%,-22.28%,39.20%,65.97,0.77%,-0.09%,2.1,5485.71,0.9,11.79,0.68%,4960876,8/14/12 16:30
249,JEC,Jacobs Engineering Group Inc.,Services,Technical Services,USA,5356.96,14.49,12.47,1.07,0.49,1.46,5.96,31.79,,0.00%,2.85,33.05%,13.40%,9.73%,13.58%,6.94%,6.93%,1.05%,129.74,127.36,1.68%,5.31%,85.13%,-0.46%,2.07%,2.9,5.99%,10.76%,8.56%,2.1,,0.14,0.14,15.76%,5.32%,3.46%,4.56%,10.76%,13.06%,-7.75%,27.99%,1.75%,1.44,0.9,1.87%,2.24%,5.54%,9.62%,0.42%,0.41%,22.85%,-14.28%,34.32%,71.2,0.39%,0.44%,2.1,909.99,0.96,41.29,0.83%,871816,7/30/12 16:30
250,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - Major,USA,186872.17,21.59,12.39,3.23,2.88,3.09,11.05,29.65,3.60%,72.71%,3.14,-27.11%,7.70%,-1.37%,6.69%,4.05%,-49.59%,-0.74%,2757.04,2756.04,0.01%,3.76%,66.40%,2.25%,7.28%,13.01,7.67%,14.26%,9.55%,1.75,1.42,0.19,0.29,68.45%,17.74%,13.47%,-1.25%,-0.48%,7.74%,6.22%,11.08%,5.28%,0.54,0.66,0.72%,0.84%,-1.08%,0.17%,4.97%,-2.82%,9.62%,-2.82%,14.56%,44.82,0.13%,-0.01%,2.1,15414.91,0.6,67.78,0.12%,9270458,7/17/12 8:30
251,JNPR,"Juniper Networks, Inc.",Technology,Networking & Communication Devices,USA,9637.81,37.92,16.4,2.78,2.22,1.33,2.8,22.8,,,0.48,-31.59%,46.05%,0.80%,13.64%,14.07%,-48.67%,-4.18%,529.55,517.43,0.40%,15.23%,89.25%,-3.40%,3.73%,2.02,2.56%,3.58%,3.00%,2.91,2.84,0.14,0.14,62.60%,9.34%,5.86%,0.72%,19.58%,1.17%,-23.47%,-7.71%,-10.83%,1.75,0.68,2.37%,3.99%,1.03%,9.62%,-8.88%,-7.05%,29.91%,-28.93%,29.91%,55.37,-0.76%,0.05%,2.7,9547.49,0.82,18.2,-0.71%,7813564,7/24/12 16:30
252,JOY,"Joy Global, Inc.",Industrial Goods,Farm & Construction Machinery,USA,6129.19,8.5,7.56,0.49,1.19,2.63,15.68,63.88,1.21%,10.15%,6.81,34.63%,5.66%,11.97%,17.20%,12.89%,34.12%,45.01%,105.84,105.2,0.64%,1.50%,88.19%,-2.49%,6.23%,2.75,14.49%,35.91%,21.34%,1.68,0.9,0.67,0.7,33.44%,20.97%,14.12%,6.10%,12.82%,-8.21%,-36.97%,-16.04%,-22.37%,2.13,2.14,3.29%,4.19%,8.28%,8.13%,-19.39%,-2.51%,21.43%,-39.37%,21.43%,62.14,1.29%,0.14%,2.2,2379.53,1.12,57.91,1.44%,2669289,8/29/12 8:30
253,JPM,JPMorgan Chase & Co.,Financial,Money Center Banks,USA,144504.45,8.57,7.26,1.2,2.45,0.75,3.22,1.84,3.15%,25.51%,4.44,13.05%,11.25%,3.26%,7.15%,0.73%,-4.65%,-9.81%,3798.75,3786.86,0.13%,11.27%,74.58%,-0.25%,1.14%,1.06,0.81%,9.48%,,,,1.54,3.68,,26.78%,19.48%,2.53%,10.45%,12.78%,1.41%,17.41%,16.94%,1.32,0.84,1.84%,2.05%,4.37%,7.25%,4.11%,0.45%,17.99%,-16.95%,39.63%,65.77,1.09%,0.70%,2,40454.31,0.9,38.04,1.79%,36552564,7/13/12 7:00
254,JWN,Nordstrom Inc.,Services,Apparel Stores,USA,11777.53,17.97,14.3,1.48,1.03,6.22,9.36,34.14,1.91%,30.96%,3.15,13.93%,13.79%,4.22%,12.12%,4.65%,-5.90%,7.08%,208.01,162.98,8.82%,0.05%,60.40%,-2.28%,3.35%,2.41,8.36%,34.80%,12.20%,2.15,1.58,1.71,1.71,38.97%,10.78%,5.87%,0.32%,8.65%,14.64%,8.70%,52.99%,15.08%,1.63,1.13,1.21%,2.31%,3.22%,8.67%,10.86%,-1.36%,20.37%,-1.44%,54.98%,67.44,-0.42%,0.49%,2.4,2266.08,0.42,56.62,0.07%,955454,8/9/12 16:30
255,K,Kellogg Company,Consumer Goods,Processed & Packaged Goods,USA,18384.26,15.67,14.39,2.29,1.39,8.56,79.93,36.12,3.42%,51.99%,3.28,2.51%,8.50%,6.16%,6.83%,3.89%,-10.53%,2.60%,357.74,354.79,21.81%,-1.81%,78.63%,-2.66%,1.38%,2.57,8.75%,51.07%,12.20%,0.7,0.43,2.8,3.85,40.55%,14.21%,8.92%,1.14%,8.99%,2.84%,-0.52%,0.65%,3.34%,0.46,0.56,0.69%,1.20%,3.99%,4.74%,2.97%,-0.16%,10.92%,-4.66%,10.92%,71.43,-0.21%,0.23%,2.8,1895.16,0.93,51.39,0.02%,1756327,8/2/12 8:00
256,KEY,KeyCorp,Financial,Money Center Banks,USA,7859.02,9.36,9.69,1.73,2.86,0.78,10.96,20.74,2.40%,15.76%,0.89,94.72%,1.18%,-20.63%,5.41%,-11.69%,-8.67%,-8.82%,943.46,941.07,0.19%,-4.78%,84.50%,1.65%,1.82%,1.42,1.00%,8.81%,,,,0.74,0.95,,28.98%,21.67%,1.34%,7.21%,11.66%,6.66%,40.47%,9.46%,0.89,0.14,1.31%,1.63%,1.96%,6.37%,7.40%,-0.83%,19.00%,-4.90%,51.29%,62.59,-0.36%,0.12%,2.6,12070.93,0.74,8.33,-0.24%,8960973,7/19/12 8:30
257,KFT,Kraft Foods Inc.,Consumer Goods,Food - Major Diversified,USA,72955.86,20.35,14.89,1.88,1.34,2.01,15.71,47.84,2.82%,57.21%,2.02,38.60%,10.84%,3.10%,10.84%,10.33%,4.55%,-4.27%,1774.65,1773.19,0.14%,20.34%,73.68%,0.37%,1.02%,1.77,3.69%,9.57%,4.54%,1.24,0.85,0.78,0.84,35.09%,12.48%,6.67%,0.51%,4.87%,6.75%,9.89%,26.45%,11.74%,0.53,0.61,1.20%,1.47%,2.28%,4.39%,9.01%,-0.94%,10.81%,-0.94%,31.96%,63.6,0.88%,-0.05%,1.8,10217.18,1.02,41.11,0.83%,10423025,8/2/12 16:00
258,KIM,Kimco Realty Corporation,Financial,REIT - Retail,USA,8293.64,58.23,50.95,10.4,9.26,1.65,21.61,,3.73%,214.91%,0.35,54.43%,5.26%,-28.31%,5.60%,8.52%,53.65%,6.97%,406.95,395.41,2.81%,-0.44%,97.59%,-1.80%,4.39%,5.32,0.44%,2.87%,0.46%,,,0.84,0.84,71.60%,8.10%,4.85%,3.61%,7.83%,13.41%,12.41%,30.89%,28.02%,1.78,0.29,1.30%,1.47%,4.01%,6.87%,13.83%,0.25%,15.77%,0.25%,55.23%,71.36,0.74%,0.00%,2.4,3259.53,1.77,20.38,0.74%,5782331,7/31/12 16:30
259,KLAC,KLA-Tencor Corporation,Technology,Semiconductor Equipment & Materials,USA,8923.81,12.04,10.47,1.2,2.81,2.7,3.52,13.72,2.99%,30.89%,4.45,-4.73%,19.35%,11.21%,10.00%,3.04%,1.59%,0.00%,166.52,166.05,0.41%,54.21%,93.80%,-0.89%,3.14%,2.4,15.47%,24.48%,18.82%,4.83,4.07,0.23,0.23,58.72%,32.04%,23.83%,2.49%,11.95%,17.39%,12.58%,63.14%,13.51%,1.76,0.98,1.41%,1.94%,3.94%,9.33%,10.44%,-0.11%,20.60%,-1.90%,66.17%,70.1,0.09%,0.45%,2.2,2174.02,0.86,53.59,0.54%,1869531,7/26/12
260,KMB,Kimberly-Clark Corporation,Consumer Goods,Personal Products,USA,33237.89,18.54,15.14,2.26,1.58,6.11,33.44,72.89,3.52%,63.09%,4.54,-10.25%,7.34%,4.21%,8.20%,4.48%,21.91%,0.19%,394.89,394.01,0.07%,27.72%,70.31%,3.10%,2.45%,3.44,8.63%,32.73%,12.28%,1.28,0.82,1.15,1.25,32.68%,12.94%,8.21%,1.48%,-0.63%,7.98%,20.50%,33.18%,16.69%,0.31,1.05,0.82%,1.48%,-0.36%,0.42%,11.64%,-4.62%,4.42%,-4.62%,34.45%,52.36,-0.13%,0.24%,2.6,2806.6,0.72,84.17,0.11%,2026980,7/26/12 8:30
261,KMI,"Kinder Morgan, Inc.",Basic Materials,Oil & Gas Pipelines,USA,36270.89,60.29,23.31,1.43,4.49,2.79,53.73,,4.00%,117.57%,0.58,175.38%,41.51%,0.00%,42.11%,,59.78%,11.01%,1037.2,440.17,4.59%,6.44%,75.04%,44.04%,1.80%,0.88,1.22%,8.39%,1.60%,0.87,0.82,2.38,2.61,47.07%,19.77%,7.41%,0.58%,1.30%,4.48%,10.56%,52.97%,11.83%,,0.57,1.56%,1.38%,-0.94%,4.15%,6.40%,-4.53%,15.75%,-11.47%,54.60%,54.42,-0.03%,0.34%,2.2,8988.1,0.6,34.97,0.32%,5393626,3/7/11
262,KMX,CarMax Inc.,Services,Auto Dealerships,USA,6807.11,16.84,14.68,1.41,0.67,2.41,14.91,,,0.00%,1.77,8.55%,7.98%,14.37%,11.95%,6.03%,-4.28%,3.55%,228.35,227.15,0.49%,13.15%,99.19%,-1.20%,5.98%,6.42,5.10%,15.73%,5.52%,3.12,1.17,1.78,1.84,11.46%,6.53%,4.05%,3.47%,9.56%,4.71%,-1.91%,16.22%,-2.20%,1.39,0.56,1.62%,1.89%,5.00%,9.17%,-0.19%,-0.83%,20.06%,-15.24%,30.92%,69.98,0.07%,0.30%,1.9,2117.48,0.74,29.81,0.37%,1572821,9/20/12
263,KO,The Coca-Cola Company,Consumer Goods,Beverages - Soft Drinks,USA,176745.37,20.77,18.01,2.77,3.72,5.48,10.42,48.25,2.60%,50.82%,1.89,-27.10%,9.55%,11.29%,7.50%,14.08%,1.05%,2.73%,4501.92,4275.81,0.52%,0.26%,59.64%,-6.92%,1.08%,3.41,10.63%,25.86%,15.42%,1.11,0.97,0.51,1.01,60.32%,22.33%,18.49%,-0.30%,2.13%,6.57%,15.00%,20.06%,13.80%,0.52,0.47,0.96%,1.14%,-1.06%,1.04%,9.48%,-3.46%,6.36%,-3.46%,26.63%,50,-0.38%,-0.15%,2.1,13477.47,0.59,39.26,-0.53%,7940638,7/17/12 8:30
264,KR,The Kroger Co.,Services,Grocery Stores,USA,11988.41,21.16,8.73,2.16,0.13,2.96,23.46,21.76,2.09%,42.24%,1.04,-41.99%,6.33%,-8.15%,9.81%,6.45%,11.27%,5.84%,544.68,510.78,0.60%,8.64%,80.35%,-5.32%,2.28%,1.81,2.63%,13.02%,4.21%,0.81,0.28,1.66,1.99,20.67%,1.39%,0.67%,-1.52%,4.02%,-0.90%,-5.94%,-1.17%,-7.75%,0.39,0.31,1.10%,1.38%,-0.05%,-0.71%,-4.06%,-4.72%,5.46%,-10.26%,6.21%,46.62,-0.45%,-0.09%,2.2,6454.41,0.7,22.01,-0.54%,4516270,9/7/12
265,KSS,Kohl's Corp.,Services,Department Stores,USA,12397.14,12.22,10.1,1.06,0.66,2,20.66,18.07,2.48%,26.36%,4.23,17.65%,11.06%,5.39%,11.53%,3.81%,-6.63%,-1.01%,239.79,221.88,1.27%,2.70%,92.38%,2.13%,8.99%,5.34,7.63%,15.98%,9.40%,1.7,0.37,0.67,0.68,37.32%,10.60%,5.63%,1.95%,5.94%,7.02%,0.45%,16.55%,6.23%,0.84,1.01,1.19%,2.24%,2.45%,8.39%,5.96%,-2.89%,21.02%,-7.03%,25.02%,67.25,-0.44%,0.00%,2.3,3734.1,0.46,51.7,-0.44%,1732761,8/9/12 7:00
266,L,Loews Corporation,Financial,Property & Casualty Insurance,USA,16017.84,18.92,11.34,,1.14,0.82,117.78,5.4,0.62%,11.72%,2.14,-15.80%,14.42%,-2.81%,,0.41%,-76.95%,-4.35%,395.6,310.66,21.40%,-0.25%,58.78%,-1.16%,0.59%,1.74,1.88%,4.44%,,,,0.46,0.47,,13.35%,10.26%,0.00%,0.05%,3.45%,4.92%,15.98%,7.89%,1.18,0.49,0.74%,1.18%,0.33%,0.37%,3.48%,-3.09%,3.71%,-3.09%,23.69%,51.71,-0.44%,0.15%,1.8,1049.6,0.85,40.49,-0.30%,893952,7/30/12 8:30
267,LEG,"Leggett & Platt, Incorporated",Consumer Goods,Home Furnishings & Fixtures,USA,3313.71,21.43,14.55,1.43,0.9,2.48,13.02,22.95,4.92%,100.31%,1.1,-9.90%,14.89%,-3.77%,15.00%,-3.15%,15.83%,-0.68%,140.59,138.62,2.16%,1.67%,75.45%,2.44%,7.23%,5,5.13%,11.56%,6.69%,1.6,1,0.61,0.77,18.45%,6.66%,4.40%,1.51%,9.63%,17.09%,10.45%,30.08%,4.99%,1.13,0.41,1.60%,1.76%,2.50%,8.80%,8.76%,-1.42%,22.38%,-1.43%,33.31%,68.56,-0.38%,0.30%,2.3,2006.31,0.4,23.57,-0.08%,810603,7/26/12 16:30
268,LEN,Lennar Corp.,Industrial Goods,Residential Construction,USA,5903,13.1,22.27,1.25,1.72,1.86,7.77,,0.51%,5.89%,2.38,-4.97%,-48.53%,-33.38%,10.50%,-28.24%,2834.66%,21.67%,189.32,161.96,3.23%,4.80%,,3.41%,20.72%,5.15,5.67%,17.53%,6.19%,,,1.28,1.28,7.98%,2.75%,14.92%,-0.32%,1.10%,13.05%,41.53%,147.07%,59.41%,1.71,1.11,3.57%,3.67%,1.96%,5.43%,25.86%,-4.97%,28.05%,-4.97%,158.60%,55.95,-2.47%,0.28%,2.5,6512.2,0.92,31.18,-2.20%,5985900,6/27/12 8:30
269,LH,Laboratory Corp. of America Holdings,Healthcare,Medical Laboratories & Research,USA,8488.11,15.13,11.85,1.24,1.51,3.22,68.23,12.16,,0.00%,5.85,-3.60%,7.17%,9.50%,12.25%,9.07%,30.84%,1.43%,95.9,95.62,0.41%,14.57%,99.50%,1.75%,7.90%,8.24,9.64%,22.43%,11.29%,1.48,1.32,0.75,0.8,40.48%,18.69%,10.53%,-0.07%,4.94%,3.99%,0.52%,14.50%,2.95%,0.56,1.35,1.01%,1.20%,1.52%,-0.40%,1.00%,-7.12%,6.00%,-7.12%,18.69%,51.65,-0.66%,0.06%,2.8,917.62,0.51,88.51,-0.61%,464494,7/19/12 8:30
270,LIFE,Life Technologies Corporation,Healthcare,Medical Laboratories & Research,USA,8156.71,19.23,10.85,2.07,2.13,1.74,28.35,10.79,,0.00%,2.42,3.05%,8.61%,23.17%,9.29%,26.81%,30.56%,0.87%,175.3,174.5,0.20%,45.72%,97.75%,-0.75%,4.86%,5.71,5.04%,9.62%,5.88%,1.52,1.13,0.44,0.51,56.56%,18.57%,11.60%,-0.34%,8.84%,11.24%,-0.92%,30.52%,19.58%,0.9,0.97,1.80%,2.11%,2.40%,5.72%,5.54%,-2.68%,14.89%,-8.48%,31.81%,56.16,-0.24%,0.41%,2.3,1483.93,1.18,46.53,0.17%,1745897,7/31/12 16:30
271,LLL,L-3 Communications Holdings Inc.,Industrial Goods,Aerospace/Defense Products & Services,USA,6721.81,7.69,8.24,3.66,0.45,0.99,13.97,6.76,2.87%,21.09%,9.05,9.46%,6.96%,16.47%,2.10%,3.98%,-7.81%,-5.52%,96.55,96.04,0.82%,12.83%,85.24%,-1.11%,3.09%,4.63,5.92%,13.36%,7.20%,1.94,1.8,0.61,0.61,10.60%,10.11%,6.19%,1.21%,2.19%,2.62%,1.00%,12.22%,6.68%,0.96,1.26,1.38%,1.83%,0.72%,-1.27%,1.76%,-5.89%,4.65%,-5.89%,22.81%,49.15,0.01%,0.24%,3,640.46,1.11,69.62,0.26%,711939,7/26/12 8:30
