No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
21,AIZ,Assurant Inc.,Financial,Accident & Health Insurance,USA,2807.8,7.48,6.1,0.72,0.44,0.57,2.54,4.63,2.43%,12.85%,4.63,120.50%,-10.41%,-0.17%,10.33%,0.50%,16.23%,3.22%,81.08,80.46,1.50%,20.87%,,-5.99%,5.12%,3.83,1.48%,8.09%,,,,0.19,0.19,,11.80%,6.35%,0.99%,2.64%,1.41%,-19.67%,7.68%,-14.79%,1.31,0.67,1.17%,1.95%,-1.96%,-0.28%,-8.86%,-6.93%,5.58%,-21.44%,9.21%,45.51,-0.12%,0.09%,3.2,1075.54,0.83,34.63,-0.03%,894436,7/25/12 16:30
22,AKAM,"Akamai Technologies, Inc.",Technology,Internet Information Providers,USA,6636.71,35.99,19.29,2.75,5.28,3.01,13.37,22.01,,0.00%,1.04,18.54%,11.49%,25.74%,13.07%,22.00%,-3.44%,19.61%,177.31,172.04,0.76%,33.75%,86.07%,2.71%,3.96%,2.19,7.83%,8.55%,8.35%,4.56,,0,0,67.70%,22.55%,15.11%,5.62%,30.60%,28.27%,2.24%,87.43%,15.95%,0.87,1.05,2.81%,2.65%,6.22%,15.55%,14.79%,-1.34%,34.35%,-4.37%,105.10%,66.8,0.16%,0.86%,2.1,3114.76,0.77,37.43,1.03%,2406805,7/25/12 16:30
23,ALL,The Allstate Corporation,Financial,Property & Casualty Insurance,USA,19059.59,9.26,8.75,1.06,0.58,0.95,33.38,10.86,2.30%,20.53%,4.13,-11.94%,6.07%,-28.09%,8.71%,-1.82%,171.81%,2.44%,498.29,497.79,0.05%,128.27%,77.09%,0.30%,2.14%,2.39,1.63%,10.87%,,,,0.31,0.31,,8.94%,6.27%,1.97%,12.01%,17.22%,23.19%,61.26%,41.46%,1.44,0.59,1.08%,1.56%,4.54%,8.66%,21.86%,-0.34%,15.63%,-0.34%,75.55%,70.2,0.34%,0.00%,2.3,4464.13,0.81,38.25,0.34%,3616043,7/31/12 16:30
24,ALTR,Altera Corp.,Technology,Semiconductor - Specialized,USA,11481.93,19.19,17.17,1.27,6.28,3.61,3.84,21.98,1.11%,16.85%,1.87,-5.67%,18.08%,21.74%,15.06%,9.94%,-23.13%,-15.24%,319.92,318.99,0.19%,45.47%,94.80%,1.09%,2.22%,1.86,13.97%,20.24%,16.19%,6.17,5.92,0.16,0.16,69.39%,34.85%,33.38%,-0.53%,15.62%,6.85%,-7.55%,6.21%,-2.58%,1.15,1.01,1.95%,2.68%,0.72%,6.42%,-0.51%,-3.62%,21.28%,-13.35%,21.28%,55.21,0.22%,-0.39%,2.3,3810.09,1.05,35.89,-0.17%,4011377,7/24/12 16:30
25,ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,19624.55,100.64,38.65,2.69,20.63,11.19,24.34,63.06,,0.00%,1.01,75.18%,39.15%,76.38%,37.47%,246.97%,1.24%,47.94%,193.06,190.62,1.37%,-8.95%,98.64%,7.34%,3.08%,2.85,10.75%,14.46%,12.71%,3.4,3.15,0.1,0.13,88.22%,31.05%,20.55%,-2.29%,3.26%,9.84%,21.79%,101.65%,42.17%,0.58,2.69,2.09%,3.00%,-2.39%,1.41%,19.22%,-7.56%,12.52%,-7.56%,105.35%,47.85,-0.13%,0.19%,1.9,2060.5,0.4,101.65,0.06%,816794,7/25/12 8:30
26,AMAT,Applied Materials Inc.,Technology,Semiconductor Equipment & Materials,USA,15098.54,14.19,14.37,1.53,1.63,1.81,6.98,9.97,3.06%,40.60%,0.83,108.26%,13.89%,8.37%,9.25%,2.79%,-51.96%,-15.93%,1281.71,1278.65,0.60%,25.45%,75.73%,-5.13%,1.02%,0.97,7.88%,12.79%,9.94%,2.44,1.86,0.23,0.23,38.67%,13.67%,11.67%,0.60%,12.30%,11.76%,-7.90%,11.66%,11.66%,1.22,0.28,2.64%,2.37%,3.63%,6.24%,3.08%,-2.24%,15.26%,-14.24%,24.10%,59.76,-1.01%,-0.58%,2.6,13469.15,0.87,11.78,-1.59%,11775132,8/15/12 16:30
27,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductor - Broad Line,USA,2879.77,,9.47,,0.45,2.59,1.82,8.47,,,-0.86,3.82%,43.33%,-22.75%,7.03%,3.14%,-40.30%,-10.23%,707.56,706.1,0.14%,49.96%,83.55%,4.70%,13.17%,5.46,-12.26%,-45.61%,-19.06%,1.37,1.02,1.37,1.81,34.39%,-4.61%,-9.86%,-1.21%,-1.93%,-33.93%,-43.00%,-32.73%,-24.63%,2.22,0.18,3.10%,3.85%,-1.38%,-16.86%,-34.10%,-33.17%,4.63%,-51.26%,4.63%,36.08,-0.73%,0.24%,2.6,17035.4,0.94,4.07,-0.49%,15963357,7/19/12 16:30
28,AMGN,Amgen Inc.,Healthcare,Biotechnology,USA,64058.7,17.8,12.04,1.54,3.9,3.32,2.85,14.46,1.73%,26.76%,4.67,-15.78%,9.00%,10.25%,11.52%,1.78%,28.88%,13.08%,770.77,769.81,0.14%,-0.92%,79.73%,-3.18%,1.64%,2.71,7.74%,17.11%,8.87%,3.68,3.36,1.14,1.27,83.49%,28.91%,23.34%,-0.51%,7.67%,21.13%,25.62%,61.25%,31.38%,0.45,1.41,1.15%,1.71%,1.82%,8.27%,22.47%,-1.08%,23.41%,-1.08%,61.59%,63.44,0.04%,-0.19%,2.4,4647.99,0.78,83.11,-0.16%,3636897,7/26/12 16:30
29,AMP,Ameriprise Financial Inc.,Financial,Asset Management,USA,11562.75,12.82,8.36,1.11,1.14,1.3,3.53,7.81,2.55%,23.66%,4.28,7.92%,17.56%,12.68%,11.50%,4.36%,-21.87%,-4.18%,210.73,210.27,0.24%,-7.33%,88.64%,-2.44%,0.96%,1.37,0.67%,11.12%,0.74%,,,0.85,0.9,71.70%,12.53%,8.91%,0.98%,12.37%,16.77%,-0.42%,41.93%,12.58%,1.96,1.04,1.28%,1.77%,4.00%,7.39%,8.00%,-0.90%,17.39%,-5.25%,56.05%,63.91,-0.24%,0.00%,2.1,1474.33,0.48,54.87,-0.24%,711034,7/25/12 16:30
30,AMT,American Tower Corporation,Technology,Diversified Communication Services,USA,27728.38,61.55,34.74,3.49,10.35,8.27,54.22,32.37,1.25%,67.10%,1.14,7.35%,34.67%,72.45%,17.65%,13.15%,-58.01%,16.83%,395.16,394.92,0.04%,14.49%,93.09%,-0.18%,1.03%,1.59,3.55%,13.26%,3.95%,1.01,,2.19,2.22,74.68%,38.11%,15.71%,-1.70%,0.33%,8.19%,11.65%,44.41%,17.70%,0.57,1.21,1.34%,1.69%,-1.46%,0.02%,9.80%,-7.21%,7.90%,-7.21%,45.54%,46.7,-1.78%,0.18%,1.9,2550.25,0.9,70.17,-1.60%,2303700,8/1/12 7:00
31,AMZN,Amazon.com Inc.,Services,Catalog & Mail Order Houses,USA,108248.16,292.01,100.61,9.23,1.99,14.42,21.78,98.5,,0.00%,0.82,-45.82%,209.09%,25.02%,31.65%,35.03%,-96.32%,29.47%,452.07,363.6,19.57%,-0.22%,66.80%,0.60%,2.08%,2.35,1.68%,4.94%,3.29%,1.08,0.68,0,0,23.30%,1.17%,0.60%,2.68%,5.95%,11.20%,32.60%,34.87%,38.33%,0.92,5.01,2.04%,2.15%,2.71%,5.81%,17.79%,-1.60%,12.65%,-2.94%,43.41%,61.36,-0.59%,0.22%,2,3221.12,0.79,239.45,-0.37%,2536867,7/26/12 16:30
