No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
239,IPG,"The Interpublic Group of Companies, Inc.",Services,Advertising Agencies,USA,4712.26,11.35,11.11,1,0.67,2.22,2.85,17.39,2.23%,20.49%,0.95,111.57%,21.25%,7.05%,11.34%,2.53%,11.14%,-1.44%,437.13,434.37,0.59%,-18.10%,95.15%,-0.70%,2.53%,1.42,4.57%,23.41%,12.18%,1.03,,0.51,0.67,,9.91%,7.87%,11.36%,3.45%,-6.83%,0.84%,40.18%,12.06%,1.77,0.49,5.09%,4.05%,0.74%,1.33%,2.72%,-10.87%,18.81%,-11.23%,62.42%,52.66,0.37%,-0.74%,2.2,7745.11,0.75,10.74,-0.37%,5819660,7/26/12 8:30
240,IR,Ingersoll-Rand Plc,Industrial Goods,Diversified Machinery,Ireland,13788.02,17.61,12.29,1.57,1.24,1.9,15.26,19.34,1.43%,19.67%,2.54,-47.27%,14.83%,-13.02%,11.21%,12.97%,225.91%,-6.60%,308.25,307.83,4.93%,-0.32%,82.60%,-10.96%,1.94%,1.85,4.54%,11.18%,5.83%,1.37,1,0.39,0.45,30.10%,10.51%,8.01%,6.60%,11.21%,2.97%,18.90%,61.02%,48.01%,1.75,1.19,2.08%,2.89%,8.23%,10.13%,19.69%,0.18%,18.37%,-0.78%,76.37%,70.1,1.46%,-0.67%,2.3,3226.64,0.81,45.08,0.78%,2619539,7/20/12 7:00
241,IRM,Iron Mountain Inc.,Technology,Business Software & Services,USA,5719.04,31.73,22.82,2.19,1.9,4.61,33.6,34.68,3.24%,91.29%,1.05,54.39%,10.61%,13.99%,14.52%,5.10%,-28.61%,-0.84%,171.64,161.02,1.19%,1.49%,95.51%,-2.99%,4.50%,4.17,3.21%,11.92%,3.68%,1.14,,2.77,2.82,58.45%,19.48%,6.66%,4.16%,6.76%,8.96%,9.89%,20.03%,10.00%,0.88,0.59,1.35%,1.73%,4.56%,5.45%,11.40%,0.54%,25.32%,0.06%,25.32%,65.29,1.45%,-0.33%,2.2,1737.46,0.35,33.69,1.11%,615980,7/26/12 8:30
242,ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Appliances & Equipment,USA,19867.57,35.41,28.53,1.76,10.06,6.24,16.39,30.06,,0.00%,14.05,30.00%,17.44%,45.46%,20.10%,36.36%,28.75%,26.03%,39.93,39.47,0.81%,-23.27%,87.58%,0.23%,3.77%,4.64,18.23%,20.91%,20.23%,4.91,4.57,0,0,72.43%,40.35%,28.96%,4.14%,-7.00%,-10.63%,1.05%,51.70%,7.46%,1.62,12.47,1.86%,2.32%,-0.69%,-4.82%,-0.37%,-12.52%,6.70%,-16.19%,55.81%,46.69,0.25%,-0.04%,2.6,320.88,0.72,498.58,0.20%,229551,7/19/12 16:30
243,ITW,Illinois Tool Works Inc.,Industrial Goods,Diversified Machinery,USA,27114.05,14.27,12.51,1.28,1.5,2.69,16.02,,2.54%,35.93%,3.98,41.31%,9.93%,8.20%,11.16%,6.83%,14.89%,0.87%,477.36,474.05,0.10%,-40.87%,77.76%,-0.79%,3.48%,4.72,10.28%,18.79%,13.09%,1.92,1.46,0.34,0.49,35.73%,15.67%,10.64%,5.81%,12.94%,1.54%,2.16%,38.13%,23.21%,1.16,1.2,1.68%,2.29%,6.45%,7.15%,9.99%,0.28%,16.79%,-0.97%,49.57%,66.96,1.27%,-0.37%,2.4,3500.45,0.49,57.31,0.90%,1701525,7/24/12 8:00
244,IVZ,Invesco Ltd.,Financial,Asset Management,USA,10502.98,15.03,11.56,1.15,2.6,1.29,7.28,14.66,2.92%,34.32%,1.57,56.18%,15.91%,5.73%,13.04%,4.74%,-13.67%,-5.70%,445.23,438.67,0.61%,17.78%,83.95%,-0.07%,1.31%,1.13,3.52%,8.77%,4.42%,1.35,,0.74,0.79,68.02%,21.60%,17.23%,8.66%,6.31%,4.52%,-2.24%,45.62%,18.90%,1.85,0.62,2.16%,2.68%,7.37%,7.71%,6.44%,0.13%,15.67%,-11.36%,66.35%,65.96,0.30%,0.17%,1.8,5083.96,0.83,23.7,0.47%,4224644,7/26/12 7:30
245,JBL,Jabil Circuit Inc.,Technology,Printed Circuit Boards,USA,4623.3,11.25,8.12,0.91,0.27,2.3,6.23,3123.85,1.42%,15.79%,2,122.50%,12.15%,17.40%,12.43%,9.98%,1.72%,0.55%,205.48,186.09,3.36%,-18.53%,86.09%,-2.25%,2.35%,1.4,5.99%,21.60%,13.16%,1.32,0.73,0.57,0.71,7.73%,3.76%,2.51%,6.38%,19.94%,12.44%,-8.87%,56.47%,15.27%,2.1,0.68,2.37%,3.18%,8.58%,13.75%,4.79%,-1.18%,28.30%,-16.93%,64.48%,69.69,1.12%,-0.36%,1.9,3120.51,0.77,22.67,0.76%,2390550,6/19/12 16:30
246,JCI,Johnson Controls Inc.,Consumer Goods,Auto Parts,USA,17720.11,10.32,8.84,0.62,0.42,1.53,29.44,,2.78%,27.65%,2.51,7.59%,16.27%,6.13%,16.67%,4.84%,16.89%,2.09%,683.91,682.27,0.02%,17.13%,78.52%,-0.51%,2.66%,3.1,6.12%,15.06%,9.75%,1.16,0.94,0.48,0.57,14.99%,5.24%,4.40%,8.73%,-3.64%,-17.98%,-20.69%,-12.53%,-16.12%,1.8,0.82,2.98%,3.00%,2.89%,-2.85%,-14.09%,-14.16%,11.72%,-26.49%,11.72%,52.61,1.40%,-0.62%,2.3,5854.66,0.61,26.11,0.77%,3598194,7/19/12 11:00
247,JCP,"J. C. Penney Company, Inc.",Services,Department Stores,USA,4830.84,,10.23,,0.29,1.23,5.76,,,,-1.76,-144.02%,118.18%,-29.36%,24.49%,-2.81%,-370.32%,-20.06%,218.59,183.23,0.29%,23.35%,,-0.31%,27.65%,5.14,-3.23%,-8.73%,-4.14%,1.92,0.66,0.73,0.79,35.27%,-2.36%,-2.30%,8.02%,8.87%,-34.63%,-48.47%,-10.96%,-36.40%,1.79,1,3.99%,4.87%,10.92%,4.62%,-26.17%,-13.11%,22.77%,-45.51%,22.77%,61.09,-2.38%,8.46%,2.6,9863.78,4.88,23.4,5.88%,48129072,8/10/12 8:30
248,JDSU,JDS Uniphase Corporation,Technology,Communication Equipment,USA,2493.47,,13.46,,1.45,2.33,3.48,49.87,,,-0.11,212.87%,40.35%,18.31%,10.50%,8.42%,-146.02%,-9.87%,231.52,226.96,0.15%,-12.59%,76.14%,-3.18%,4.76%,2.15,-1.26%,-2.29%,-1.58%,3.49,2.98,0.28,0.28,42.66%,0.72%,-1.41%,13.97%,14.94%,0.28%,-21.90%,6.53%,3.16%,2.46,0.44,4.13%,4.20%,13.60%,9.22%,-5.93%,-3.54%,28.69%,-28.15%,28.69%,64.82,0.00%,1.21%,2.1,5019.39,0.8,10.9,1.21%,3995286,8/14/12 16:30
249,JEC,Jacobs Engineering Group Inc.,Services,Technical Services,USA,5145.49,13.92,11.98,1.02,0.48,1.41,,,,,2.85,33.05%,13.36%,9.73%,13.58%,6.94%,6.93%,1.05%,129.74,127.35,1.90%,5.12%,85.71%,-0.32%,2.46%,3.23,,,,,,,,15.76%,5.32%,3.46%,3.47%,7.98%,1.74%,-14.51%,19.03%,-2.27%,1.44,0.92,1.47%,2.39%,2.77%,6.22%,-4.24%,-3.01%,17.05%,-18.33%,27.98%,60.16,-0.30%,-0.50%,2.1,969.88,0.57,39.34,-0.81%,549326,7/30/12 16:30
250,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - Major,USA,188360.97,21.76,12.51,3.09,2.9,3.11,11.14,29.88,3.57%,72.71%,3.14,-27.11%,7.69%,-1.37%,7.04%,4.05%,-49.59%,-0.74%,2757.04,2756.04,0.03%,12.21%,65.59%,0.69%,8.04%,13.62,7.67%,14.26%,9.55%,1.75,1.42,0.19,0.29,68.45%,17.74%,13.47%,-0.19%,0.62%,6.83%,7.25%,17.71%,6.12%,0.55,0.72,0.74%,1.06%,-0.11%,2.67%,6.63%,-1.59%,11.23%,-1.59%,18.64%,55.44,0.76%,-0.29%,2,16273.24,0.46,68.64,0.47%,7527645,7/17/12 8:30
251,JNPR,"Juniper Networks, Inc.",Technology,Networking & Communication Devices,USA,10273.27,40.42,17.32,2.92,2.37,1.42,2.99,24.3,,,0.48,-31.59%,47.37%,0.80%,13.82%,14.07%,-48.67%,-4.18%,529.55,514.7,0.40%,19.12%,94.66%,2.46%,2.56%,1.36,2.56%,3.58%,3.00%,2.91,,0.14,0.14,62.60%,9.02%,5.86%,10.35%,32.15%,7.36%,-16.31%,-6.14%,-4.95%,1.74,0.75,3.31%,4.31%,14.79%,17.50%,-4.55%,-1.74%,37.33%,-24.87%,37.33%,70.04,0.05%,-0.88%,2.7,9651.74,0.67,19.24,-0.82%,6456060,7/24/12 16:30
252,JOY,"Joy Global, Inc.",Industrial Goods,Farm & Construction Machinery,USA,6005.36,8.33,7.31,0.48,1.17,2.58,15.36,62.59,1.23%,10.15%,6.81,34.63%,6.16%,11.97%,17.20%,12.89%,34.12%,45.01%,105.84,105.24,0.64%,1.50%,90.98%,0.68%,5.92%,2.54,14.49%,35.91%,21.34%,1.68,0.9,0.67,0.7,33.44%,20.97%,14.12%,16.34%,14.74%,-12.10%,-33.73%,-23.86%,-23.94%,2.13,2.44,4.59%,4.49%,10.46%,6.70%,-21.53%,-5.04%,20.03%,-40.08%,20.03%,62.81,1.51%,-0.62%,2.2,2455.39,0.88,57.24,0.88%,2159667,8/29/12
253,JPM,JPMorgan Chase & Co.,Financial,Money Center Banks,USA,140542.25,8.32,7.07,1.16,2.38,0.73,3.13,,3.25%,24.56%,4.44,13.05%,11.54%,3.26%,7.15%,0.73%,-4.65%,-9.81%,3806.67,3787.27,0.13%,11.49%,74.42%,-0.18%,1.14%,0.88,0.81%,9.48%,,,,1.54,3.68,,26.78%,19.48%,4.98%,6.74%,-8.61%,-1.02%,10.77%,13.50%,1.32,0.93,2.30%,2.42%,3.66%,6.26%,1.49%,-2.38%,20.93%,-19.28%,35.71%,60.54,0.57%,-0.43%,2.2,49358.9,0.31,36.97,0.14%,15433660,7/13/12 7:00
254,JWN,Nordstrom Inc.,Services,Apparel Stores,USA,11457.19,17.21,14.12,1.42,1.02,5.52,6.96,26.58,1.96%,29.55%,3.2,13.93%,13.04%,4.22%,12.10%,4.65%,8.54%,13.17%,208.01,157.86,8.82%,0.05%,60.94%,-1.41%,3.24%,2.09,8.58%,32.58%,12.15%,2.41,1.79,1.51,1.51,39.27%,11.24%,6.14%,3.32%,8.66%,3.44%,8.81%,40.08%,11.95%,1.63,1.41,2.43%,2.64%,5.07%,10.38%,10.39%,0.52%,21.31%,-2.29%,53.68%,69.67,0.81%,1.09%,2.4,2446.79,1.39,56.13,1.91%,3390273,8/9/12 16:30
255,K,Kellogg Company,Consumer Goods,Processed & Packaged Goods,USA,18141.1,15.47,14.18,2.22,1.37,8.46,78.87,35.64,3.47%,52.08%,3.28,2.51%,9.15%,6.16%,6.98%,3.89%,-10.53%,2.60%,357.46,354.53,22.05%,-1.07%,80.34%,-0.64%,1.53%,2.87,8.75%,51.07%,12.20%,0.7,0.43,2.8,3.85,40.55%,14.21%,8.92%,2.65%,2.57%,0.50%,2.77%,1.99%,2.05%,0.45,0.69,1.06%,1.38%,5.28%,4.68%,2.01%,0.35%,10.04%,-5.42%,10.04%,70.83,0.77%,-0.32%,2.8,1881.59,0.83,50.98,0.45%,1563385,8/2/12 8:00
256,KEY,KeyCorp,Financial,Money Center Banks,USA,7859.02,9.36,9.69,1.73,2.86,0.78,10.96,,2.40%,15.66%,0.89,94.72%,2.38%,-20.63%,5.41%,-11.69%,-8.67%,-8.82%,943.46,941.1,0.19%,-4.78%,82.28%,-0.75%,1.55%,1.2,1.00%,8.81%,,,,0.74,0.95,,28.98%,21.67%,5.04%,8.89%,6.25%,4.00%,37.01%,9.46%,0.89,0.16,1.62%,2.01%,4.01%,8.74%,8.14%,-0.24%,22.65%,-4.78%,51.47%,68.58,0.97%,-0.84%,2.6,12183.05,0.6,8.34,0.12%,7344357,7/19/12 8:30
257,KFT,Kraft Foods Inc.,Consumer Goods,Food - Major Diversified,USA,72816.7,20.33,14.88,2.08,1.34,2.01,15.68,,2.82%,,2.02,38.60%,10.84%,3.10%,9.76%,10.33%,4.55%,-4.27%,1772.99,1771.39,0.14%,19.79%,73.75%,0.45%,0.81%,1.38,3.69%,9.55%,4.54%,1.24,0.85,0.77,0.83,35.09%,12.48%,6.67%,5.47%,4.32%,5.96%,7.94%,29.19%,11.63%,0.53,0.68,1.63%,1.56%,2.69%,5.09%,9.17%,-1.40%,10.62%,-1.40%,31.35%,64.73,0.29%,-0.66%,1.9,10347.89,0.78,40.92,-0.37%,8036301,8/2/12 16:00
258,KIM,Kimco Realty Corporation,Financial,REIT - Retail,USA,8079.91,55.77,48.8,9.96,9.03,1.58,21.06,,3.89%,214.46%,0.35,54.43%,48.15%,-28.31%,5.60%,8.52%,53.88%,6.97%,413.93,402.17,2.82%,1.83%,99.26%,-0.13%,4.37%,5.36,0.44%,2.87%,0.46%,,,0.84,0.84,71.60%,8.10%,4.85%,-1.06%,1.46%,0.98%,6.78%,28.51%,22.61%,1.79,0.34,1.27%,1.62%,0.98%,4.22%,9.95%,-2.64%,15.11%,-2.64%,48.98%,58.28,0.77%,-0.56%,2.4,3277.8,0.53,19.56,0.20%,1732961,7/31/12 16:30
259,KLAC,KLA-Tencor Corporation,Technology,Semiconductor Equipment & Materials,USA,8878.53,11.92,10.36,1.19,2.8,2.67,3.5,13.65,3.02%,30.93%,4.45,-4.73%,19.35%,11.21%,10.00%,3.04%,1.59%,0.00%,167.33,167.09,0.11%,-17.85%,91.25%,-3.05%,3.23%,2.29,15.47%,24.48%,18.82%,4.83,4.07,0.23,0.23,58.52%,32.04%,23.83%,2.83%,16.51%,6.12%,5.99%,54.83%,11.54%,1.76,1.16,1.44%,2.28%,6.48%,9.97%,9.29%,-0.45%,20.56%,-3.48%,63.48%,73.58,0.68%,-0.57%,2.2,2350.47,0.38,53.12,0.11%,895989,7/26/12
260,KMB,Kimberly-Clark Corporation,Consumer Goods,Personal Products,USA,32487.14,18.25,14.9,2.23,1.54,6.02,32.68,71.24,3.57%,63.09%,4.54,-10.25%,7.34%,4.21%,8.20%,4.48%,21.91%,0.19%,392.12,391.24,0.07%,27.97%,68.96%,0.54%,2.79%,3.84,8.63%,32.73%,12.28%,1.28,0.82,1.15,1.25,32.68%,12.94%,8.21%,-4.64%,-1.78%,4.87%,17.55%,37.81%,14.86%,0.31,1.31,2.36%,1.57%,-2.82%,-0.52%,10.64%,-6.15%,7.46%,-6.15%,38.11%,41.49,0.08%,-0.12%,2.6,2842.35,0.78,82.82,-0.04%,2217588,7/26/12 8:30
261,KMI,"Kinder Morgan, Inc.",Basic Materials,Oil & Gas Pipelines,USA,37134.26,61.74,23.87,1.47,4.59,2.02,55.01,,3.91%,27.11%,0.58,175.38%,29.31%,0.00%,42.11%,,59.78%,10.96%,1036.98,366.46,15.24%,1.86%,,2.35%,2.23%,0.99,1.22%,8.39%,1.60%,0.88,,2.38,2.61,47.12%,20.18%,7.43%,1.16%,9.41%,5.45%,11.80%,42.84%,14.52%,,0.56,1.41%,1.59%,-1.90%,4.22%,6.14%,-5.43%,14.65%,-12.30%,53.15%,49.74,-0.57%,-2.71%,2.2,8220.03,3.3,34.64,-3.27%,27143140,3/7/11
262,KMX,CarMax Inc.,Services,Auto Dealerships,USA,6629,16.4,14.3,1.37,0.66,2.35,14.52,,,0.00%,1.77,8.55%,7.98%,14.37%,11.95%,6.03%,-4.28%,3.55%,228.35,227.15,0.49%,14.30%,95.45%,-4.92%,6.20%,6.34,5.10%,15.73%,5.52%,3.12,1.17,1.78,1.84,11.46%,6.53%,4.05%,7.76%,11.10%,-3.36%,-4.54%,9.63%,-4.76%,1.39,0.61,1.71%,2.20%,5.58%,6.99%,-3.06%,-0.51%,16.75%,-17.57%,27.32%,64.79,0.07%,-0.21%,1.9,2221.87,0.33,28.99,-0.14%,740000,9/20/12
263,KO,The Coca-Cola Company,Consumer Goods,Beverages - Soft Drinks,USA,178366.07,20.96,18.22,2.73,3.75,5.53,10.51,48.69,2.57%,50.82%,3.78,-27.10%,8.75%,11.29%,7.68%,14.08%,1.05%,2.73%,2250.96,2137.94,0.52%,0.95%,63.95%,-0.17%,1.03%,3.14,10.63%,25.86%,15.42%,1.11,0.97,0.51,1.01,60.32%,22.33%,18.49%,-0.64%,2.30%,3.06%,18.23%,27.42%,14.86%,0.53,1.01,1.11%,1.30%,0.01%,2.36%,10.52%,-3.12%,9.33%,-3.12%,27.21%,51.66,-0.47%,-0.10%,2,6977.13,1.45,78.79,-0.57%,10132406,7/17/12 8:30
264,KR,The Kroger Co.,Services,Grocery Stores,USA,12260.75,21.64,8.93,2.21,0.13,3.03,23.99,22.25,2.04%,42.24%,1.04,-41.99%,6.33%,-8.15%,9.81%,6.45%,11.27%,5.84%,544.68,510.78,0.60%,8.64%,80.90%,-4.64%,2.17%,1.71,2.63%,13.02%,4.21%,0.81,0.28,1.66,1.99,20.67%,1.39%,0.67%,2.88%,-1.32%,-2.00%,-3.60%,4.70%,-6.13%,0.39,0.38,1.22%,1.67%,2.60%,1.32%,-2.48%,-3.10%,7.24%,-8.75%,8.02%,58.92,0.04%,-0.09%,2.2,6462.1,0.76,22.5,-0.04%,4919388,9/7/12
265,KSS,Kohl's Corp.,Services,Department Stores,USA,12330,11.93,9.95,0.91,0.65,1.98,11.98,11.95,2.49%,24.84%,4.31,17.65%,11.18%,5.39%,13.14%,3.81%,-9.31%,1.95%,239.79,221.88,1.27%,2.70%,90.01%,-0.43%,9.58%,5.2,7.80%,16.14%,9.66%,1.68,0.49,0.66,0.67,37.69%,11.06%,5.93%,2.55%,8.14%,6.44%,3.32%,18.95%,5.65%,0.84,1.33,2.38%,2.46%,2.93%,9.10%,4.44%,-4.21%,19.38%,-8.29%,23.32%,64.47,0.06%,-0.88%,2.3,4090.39,1.18,51,-0.82%,4846860,8/9/12 7:00
266,L,Loews Corporation,Financial,Property & Casualty Insurance,USA,16009.93,18.91,11.24,,1.14,0.82,117.72,5.39,0.62%,11.72%,2.14,-15.80%,16.13%,-2.81%,,0.41%,-76.95%,-4.35%,395.6,310.66,21.40%,0.15%,59.49%,0.02%,0.68%,1.96,1.88%,4.44%,,,,0.46,0.47,,13.35%,10.26%,2.56%,0.30%,-1.12%,6.28%,17.95%,7.83%,1.19,0.63,0.93%,1.40%,0.15%,0.94%,3.62%,-3.04%,6.21%,-3.04%,23.75%,53.25,0.25%,-0.15%,1.8,1077.67,0.47,40.51,0.10%,509821,7/30/12 8:30
267,LEG,"Leggett & Platt, Incorporated",Consumer Goods,Home Furnishings & Fixtures,USA,3249.37,21.07,14.31,1.4,0.88,2.42,11.98,22.5,4.83%,97.80%,1.1,-9.90%,14.89%,-3.77%,15.00%,-3.15%,15.83%,-0.68%,140.18,138.13,2.24%,2.95%,73.75%,-0.15%,9.51%,6.29,5.12%,11.43%,6.65%,1.59,1,0.61,0.76,18.45%,6.66%,4.40%,0.91%,11.18%,12.91%,9.29%,30.22%,3.25%,1.14,0.44,1.67%,2.07%,3.53%,9.06%,6.97%,-1.41%,20.04%,-3.31%,31.15%,66.7,-0.04%,-0.22%,2.3,2089.6,0.68,23.12,-0.26%,1419820,7/26/12 16:30
268,LEN,Lennar Corp.,Industrial Goods,Residential Construction,USA,5961.69,13.23,22.65,1.26,1.74,1.88,7.84,,0.51%,5.89%,2.38,-4.97%,-50.88%,-33.38%,10.50%,-28.24%,2834.66%,21.67%,189.32,161.96,3.29%,6.50%,,-0.09%,22.09%,5.11,5.67%,17.53%,6.19%,,,1.28,1.28,7.98%,2.75%,14.92%,6.42%,5.04%,12.22%,33.04%,138.20%,60.99%,1.7,1.14,3.62%,4.01%,3.06%,8.59%,28.72%,-2.13%,33.05%,-2.13%,158.77%,61.43,-0.92%,0.00%,2.5,6996.22,0.45,31.2,-0.92%,3146555,6/27/12 8:30
269,LH,Laboratory Corp. of America Holdings,Healthcare,Medical Laboratories & Research,USA,8481.4,15.12,11.84,1.23,1.51,3.25,68.18,11.57,,,5.85,-3.60%,7.33%,9.50%,12.25%,9.07%,30.84%,1.43%,95.9,95.59,0.40%,11.64%,99.50%,0.68%,9.12%,9.18,9.64%,22.43%,10.69%,6.4,,0.75,0.8,40.48%,18.69%,10.53%,2.54%,-5.05%,2.99%,-3.98%,10.72%,2.87%,0.55,1.63,1.04%,1.59%,0.78%,0.30%,1.19%,-7.14%,8.51%,-7.14%,18.68%,52.99,0.00%,0.07%,2.8,950.37,0.63,88.5,0.07%,600055,7/19/12 8:30
270,LIFE,Life Technologies Corporation,Healthcare,Medical Laboratories & Research,USA,8398.62,19.43,10.94,2.06,2.19,1.79,27.68,10.94,,,2.42,3.05%,8.59%,23.17%,9.42%,26.81%,30.56%,0.87%,178.58,177.78,0.19%,47.97%,96.93%,0.27%,4.70%,5.75,5.04%,9.62%,5.88%,1.52,1.13,0.44,0.51,56.56%,18.57%,11.60%,7.84%,13.19%,7.15%,-5.14%,26.09%,20.87%,0.89,1.14,2.15%,2.35%,7.71%,10.21%,8.46%,0.49%,19.78%,-6.39%,34.82%,68.65,1.26%,-0.06%,2.3,1452.33,1.25,47.59,1.19%,1818564,7/31/12 16:30
271,LLL,L-3 Communications Holdings Inc.,Industrial Goods,Aerospace/Defense Products & Services,USA,6860.05,7.78,8.29,3.7,0.46,1.02,14.26,6.9,2.84%,20.52%,9.05,9.46%,6.93%,16.47%,2.10%,3.98%,-7.81%,-5.52%,97.43,96.88,0.80%,14.72%,84.43%,-1.14%,3.62%,5.28,5.92%,13.36%,7.20%,1.94,1.8,0.61,0.61,10.60%,10.11%,6.19%,2.67%,-1.62%,-0.13%,1.35%,12.64%,7.12%,0.97,1.39,1.38%,1.98%,0.29%,-0.65%,2.31%,-5.54%,5.33%,-5.54%,23.27%,51.35,0.19%,-0.21%,3,664.23,0.72,70.39,-0.03%,475922,7/26/12 8:30
272,LLTC,Linear Technology Corp.,Technology,Semiconductor - Specialized,USA,7601.53,19.42,14.23,2.91,6,10.52,6.32,,3.03%,56.32%,1.7,-31.90%,17.77%,4.13%,6.67%,3.18%,-35.17%,-7.96%,230.21,228.68,0.84%,1.05%,94.20%,0.48%,2.86%,2.92,23.11%,64.10%,25.75%,8.83,8.36,1.09,1.09,75.32%,45.70%,31.43%,3.09%,9.74%,8.23%,-2.31%,28.13%,11.71%,1.09,0.66,1.45%,2.19%,4.97%,7.89%,6.02%,-0.33%,17.15%,-3.15%,32.03%,68.77,0.42%,-0.09%,2.6,2243.64,0.84,33.13,0.33%,1888456,7/24/12 16:30
273,LLY,Eli Lilly & Co.,Healthcare,Drug Manufacturers - Major,USA,49573.57,11.83,11.39,,2.12,3.34,9.42,18.59,4.59%,56.38%,3.61,-14.87%,11.28%,9.77%,-7.92%,9.13%,-23.19%,-10.43%,1160.43,1159.11,0.01%,-25.63%,74.43%,0.47%,1.38%,2.67,12.48%,28.19%,16.32%,1.86,1.51,0.38,0.38,78.61%,21.65%,17.22%,-1.39%,-0.19%,3.54%,10.76%,30.44%,5.33%,0.67,0.69,1.32%,1.38%,-0.06%,2.35%,9.55%,-2.40%,9.19%,-2.40%,33.85%,53.14,2.01%,0.05%,3.1,6000.49,1.97,43.6,2.06%,11822256,7/25/12 8:30
274,LM,Legg Mason Inc.,Financial,Asset Management,USA,3642.08,24.3,11.5,2.22,1.41,0.64,,,1.69%,,1.07,-5.68%,54.79%,-19.58%,10.93%,-9.32%,-116.98%,-12.05%,140.08,123.44,0.74%,19.62%,87.70%,-0.59%,4.89%,2.99,,,,,,,,75.15%,12.21%,6.07%,5.86%,-0.42%,11.59%,-4.02%,7.00%,8.88%,1.76,0.69,2.36%,2.84%,0.74%,1.03%,-0.15%,-4.63%,10.47%,-12.29%,15.68%,52.71,-1.15%,0.19%,2.6,2015.26,0.77,25.75,-0.96%,1553941,7/27/12 8:30
275,LMT,Lockheed Martin Corporation,Industrial Goods,Aerospace/Defense Products & Services,USA,29372.99,10.6,10.8,1.48,0.62,13.24,7.73,38.96,4.42%,43.85%,8.54,10.55%,3.58%,6.25%,7.14%,3.25%,10.06%,3.27%,324.42,324.06,0.07%,-8.09%,90.52%,0.18%,3.23%,5.99,7.59%,102.40%,11.30%,1.21,1,2.88,2.95,8.79%,9.12%,5.91%,2.36%,4.26%,6.40%,5.29%,41.82%,14.55%,0.94,1.19,1.19%,1.35%,2.65%,5.65%,9.46%,0.03%,13.59%,-0.11%,43.69%,66.1,0.75%,-0.21%,2.9,1748.58,0.58,91.03,0.54%,1010503,7/24/12 8:30
276,LNC,Lincoln National Corp.,Financial,Life Insurance,USA,6630.07,37.47,5.29,4.38,0.62,0.47,1.26,,1.38%,46.27%,0.62,-61.41%,6.55%,-28.48%,8.55%,3.68%,16.67%,3.26%,285.41,284.31,0.44%,16.73%,85.10%,-0.43%,5.01%,3.89,0.09%,1.36%,,,,0.4,0.42,,3.87%,1.80%,8.86%,12.28%,-0.73%,-4.05%,13.98%,20.93%,2.61,0.72,2.96%,3.11%,10.11%,10.49%,5.02%,-2.22%,20.92%,-16.14%,69.14%,66.6,-0.82%,-0.43%,2.3,3661.28,0.72,22.94,-1.25%,2653726,8/1/12 16:30
277,LO,"Lorillard, Inc.",Consumer Goods,Cigarettes,USA,16121.19,15.18,13.19,1.6,2.48,,17.04,99.51,5.02%,69.84%,8.13,17.82%,9.35%,10.96%,9.50%,11.48%,6.16%,2.30%,130.61,130.52,0.16%,5.03%,94.20%,-0.79%,3.94%,4.48,42.73%,,78.55%,1.8,1.47,,,35.96%,28.64%,16.68%,-1.59%,-10.38%,-2.45%,1.70%,29.82%,10.95%,0.44,2.3,1.62%,1.68%,-5.40%,-4.38%,2.16%,-12.24%,4.28%,-12.24%,31.17%,35.46,0.34%,-0.04%,2.7,1147.47,0.48,123.8,0.30%,553759,7/25/12 8:30
278,LOW,Lowe's Companies Inc.,Services,Home Improvement Stores,USA,31665.54,17.82,12.07,1.05,0.62,2.1,10.14,16.95,2.38%,36.61%,1.51,0.87%,23.20%,-6.31%,17.03%,1.36%,25.77%,7.94%,1176.72,1174.77,0.16%,-6.92%,79.23%,0.19%,1.68%,1.21,5.21%,11.57%,7.30%,1.24,0.35,0.59,0.63,34.38%,5.89%,3.72%,8.29%,1.55%,-10.27%,1.09%,52.03%,7.73%,1.02,0.73,2.37%,2.62%,3.40%,0.19%,-0.40%,-6.17%,8.12%,-16.41%,51.58%,55.66,0.26%,-0.78%,2.3,16401.95,0.62,26.77,-0.52%,10123079,8/20/12
