"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (Year)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date"
231,"HUM","Humana Inc.","Healthcare","Health Care Plans","USA",12146.04,9.97,9.53,0.97,0.32,1.44,1.03,3.37,1.38%,13.20%,7.53,30.63%,10.67%,23.85%,10.29%,11.45%,-20.35%,4.47%,161.71,160.79,0.46%,,92.90%,0.22%,1.18%,0.89,6.49%,15.56%,10.66%,1.62,,0.19,0.22,20.28%,5.41%,3.26%,0.43%,6.74%,2.69%,-14.46%,2.48%,-13.42%,1.10,1.44,1.85%,1.80%,2.47%,5.72%,-6.39%,-3.28%,17.98%,-22.19%,24.50%,61.63,-1.71%,0.67%,2.00,2138.68,0.51,74.32,-1.05%,435686,11/5/2012 6:00:00 AM
232,"IBM","International Business Machines Corp.","Technology","Diversified Computer Systems","USA",241126.58,15.35,12.64,1.52,2.27,11.78,21.55,19.92,1.61%,22.25%,13.75,13.37%,10.24%,16.60%,10.08%,3.18%,11.35%,-3.31%,1142.78,1141.72,0.06%,3.00%,59.64%,-0.02%,1.34%,4.28,14.32%,74.65%,21.93%,1.22,1.15,1.21,1.58,47.40%,20.07%,15.34%,1.45%,1.86%,12.56%,6.32%,14.94%,16.17%,0.68,2.26,1.00%,1.06%,-3.28%,-0.88%,2.16%,-5.12%,4.02%,-5.12%,15.94%,38.42,-0.13%,-4.64%,2.40,3586.53,4.17,200.94,-4.77%,5991208,10/16/2012
233,"ICE","IntercontinentalExchange, Inc.","Financial","Diversified Investments","USA",9562.12,17.55,15.44,1.04,6.91,2.83,8.84,14.35,,0.00%,7.49,28.97%,12.42%,23.47%,16.93%,33.44%,19.23%,7.99%,72.76,70.91,0.53%,-22.19%,92.24%,-0.37%,0.83%,1.23,1.59%,17.13%,13.80%,1.03,,0.24,0.26,,60.64%,40.62%,1.34%,-6.40%,-3.13%,0.68%,7.47%,9.02%,1.03,2.23,1.69%,1.67%,-1.59%,-2.99%,-0.32%,-7.47%,2.02%,-8.51%,18.01%,42.00,-0.37%,-0.26%,2.20,474.44,2.40,130.60,-0.62%,455661,11/5/2012 8:30:00 AM
234,"IFF","International Flavors & Fragrances Inc.","Basic Materials","Specialty Chemicals","USA",5070.50,18.52,14.44,2.82,1.82,4.15,48.46,56.52,2.19%,36.64%,3.36,-0.01%,8.02%,5.60%,6.57%,5.88%,15.82%,0.80%,81.48,80.03,0.54%,15.79%,81.61%,0.11%,1.56%,3.02,9.16%,22.79%,11.30%,2.69,1.63,0.64,0.71,39.77%,13.83%,9.90%,2.84%,3.54%,14.06%,6.41%,6.27%,20.72%,0.86,0.79,1.23%,1.16%,4.29%,4.23%,10.69%,0.34%,14.14%,0.34%,26.05%,70.89,0.88%,0.50%,2.50,412.68,0.38,63.09,1.38%,62870,11/06/2012
235,"IGT","International Game Technology","Technology","Multimedia & Graphics Software","USA",3560.44,18.01,11.69,1.48,1.73,3.28,11.78,17.94,1.80%,31.80%,0.74,32.22%,16.33%,-6.21%,12.21%,-4.87%,-47.80%,8.96%,267.10,238.50,0.04%,23.03%,93.91%,2.31%,4.54%,2.41,5.26%,17.14%,6.07%,2.04,1.86,1.77,1.77,56.70%,20.84%,10.66%,4.14%,2.38%,-14.11%,-18.12%,-15.74%,-21.54%,1.54,0.33,2.10%,2.58%,4.62%,9.20%,-6.54%,0.52%,24.54%,-24.29%,24.54%,67.56,1.80%,-0.23%,2.40,4484.10,0.28,13.54,1.58%,509844,07/24/2012
236,"INTC","Intel Corporation","Technology","Semiconductor - Broad Line","USA",111817.05,9.47,10.40,0.88,2.05,2.30,8.19,21.42,4.03%,34.12%,2.36,18.84%,1.42%,22.76%,10.72%,8.82%,0.16%,3.60%,5003.00,4999.02,0.05%,53.33%,62.98%,-0.10%,3.57%,4.26,17.90%,25.42%,21.09%,2.45,1.98,0.15,0.15,63.80%,30.83%,22.73%,2.05%,-4.12%,-13.97%,-18.76%,-0.80%,-5.62%,1.07,0.47,1.88%,1.68%,-3.63%,-9.81%,-15.89%,-19.41%,1.31%,-25.28%,1.31%,34.75,1.45%,-4.38%,2.60,41855.38,3.39,21.68,-3.00%,56851056,10/16/2012
237,"INTU","Intuit Inc.","Technology","Application Software","USA",17955.54,24.51,16.21,1.75,4.33,6.54,24.13,20.59,1.12%,23.21%,2.48,22.27%,11.61%,15.07%,14.00%,9.20%,41.30%,13.61%,295.37,277.54,0.06%,-80.03%,89.70%,-0.02%,2.74%,3.79,15.66%,28.62%,22.81%,1.20,,0.18,0.18,81.69%,28.35%,18.48%,1.55%,1.35%,2.01%,-0.52%,17.54%,16.84%,0.74,0.79,1.26%,1.35%,2.99%,3.39%,6.05%,-0.81%,6.64%,-1.05%,26.46%,63.74,1.11%,-0.43%,2.10,2010.44,0.56,61.20,0.67%,452768,8/21/2012 4:30:00 PM
238,"IP","International Paper Co.","Consumer Goods","Paper & Paper Products","USA",16706.01,15.16,10.61,2.69,0.62,2.50,13.60,17.13,3.14%,42.45%,2.52,99.34%,40.08%,2.42%,5.63%,3.43%,-47.07%,6.45%,437.33,434.09,0.68%,-1.65%,84.08%,0.04%,1.94%,1.94,3.44%,15.30%,4.20%,1.78,1.27,1.57,1.70,26.27%,4.54%,3.80%,4.46%,11.76%,19.11%,17.54%,57.59%,32.36%,2.22,0.82,1.80%,1.95%,4.33%,7.87%,17.21%,-1.20%,18.69%,-1.20%,58.34%,64.83,-0.73%,0.08%,1.90,4330.18,0.83,37.95,-0.65%,1437324,10/25/2012 8:30:00 AM
239,"IPG","The Interpublic Group of Companies, Inc.","Services","Advertising Agencies","USA",4952.68,11.93,11.68,1.14,0.71,2.30,3.00,18.28,2.12%,20.49%,0.95,111.57%,21.25%,7.05%,10.45%,2.53%,11.14%,-1.44%,437.13,434.45,0.58%,-19.65%,94.08%,-1.88%,2.92%,1.67,4.57%,23.41%,12.18%,1.03,,0.51,0.67,,9.91%,7.87%,-1.22%,-2.83%,-0.96%,5.89%,55.85%,18.39%,1.80,0.26,1.92%,2.26%,-2.06%,0.06%,2.15%,-6.95%,9.55%,-7.63%,54.84%,42.32,-1.59%,-0.35%,2.10,7609.45,1.09,11.11,-1.94%,3329226,10/26/2012 8:30:00 AM
240,"IR","Ingersoll-Rand Plc","Industrial Goods","Diversified Machinery","Ireland",14043.87,17.94,12.62,1.60,1.26,1.93,15.55,19.70,1.40%,19.67%,2.54,-47.27%,12.46%,-13.02%,11.21%,12.97%,225.91%,-6.60%,308.25,307.83,4.75%,-0.42%,72.80%,-22.63%,1.66%,1.77,4.54%,11.18%,5.83%,1.37,1.00,0.39,0.45,30.10%,10.51%,8.01%,2.84%,-0.37%,10.45%,13.36%,59.41%,51.26%,1.76,0.94,1.66%,2.09%,1.04%,0.30%,11.36%,-4.05%,6.63%,-4.05%,74.04%,53.09,0.86%,-0.72%,2.50,2883.34,0.57,45.62,0.13%,661929,10/19/2012 7:00:00 AM
241,"IRM","Iron Mountain Inc.","Technology","Business Software & Services","USA",6261.43,34.74,26.06,2.37,2.08,5.05,36.78,37.96,2.96%,91.29%,1.05,54.39%,6.87%,13.99%,14.68%,5.10%,-28.61%,-0.84%,171.64,161.02,1.21%,1.96%,90.94%,-0.55%,4.15%,5.61,3.21%,11.92%,3.68%,1.14,,2.77,2.82,58.45%,19.48%,6.66%,4.89%,10.58%,14.90%,26.89%,18.83%,21.40%,0.86,0.67,3.19%,1.83%,7.56%,10.87%,19.57%,1.06%,16.57%,1.06%,39.02%,72.94,1.31%,0.30%,2.20,1191.25,0.94,37.07,1.62%,446808,10/23/2012
242,"ISRG","Intuitive Surgical, Inc.","Healthcare","Medical Appliances & Equipment","USA",21287.88,37.95,30.62,1.85,10.78,6.69,17.56,32.21,,0.00%,14.05,30.00%,17.24%,45.46%,20.49%,36.36%,28.75%,26.03%,39.93,39.47,0.81%,-23.06%,87.95%,-0.26%,5.26%,6.03,18.23%,20.91%,20.23%,4.91,4.57,0.00,0.00,72.43%,40.35%,28.96%,7.67%,4.47%,-2.95%,-8.79%,37.39%,15.14%,1.59,11.47,2.08%,1.98%,6.45%,7.14%,4.36%,0.79%,11.99%,-9.40%,41.84%,67.95,5.56%,-4.23%,2.60,344.24,8.61,538.98,1.10%,1187949,10/16/2012 4:30:00 PM
243,"ITW","Illinois Tool Works Inc.","Industrial Goods","Diversified Machinery","USA",27946.36,14.98,13.22,1.34,1.54,2.77,16.52,21.79,2.55%,35.74%,3.98,41.31%,9.73%,8.20%,11.16%,6.83%,14.89%,0.87%,468.82,465.50,0.09%,-74.76%,80.85%,-0.14%,2.80%,4.34,10.28%,18.79%,13.09%,1.92,1.46,0.34,0.49,35.73%,15.67%,10.64%,0.91%,-1.94%,13.76%,8.03%,34.83%,30.15%,1.17,0.91,1.24%,1.46%,0.75%,1.49%,8.95%,-2.71%,8.68%,-2.71%,45.42%,54.32,0.45%,0.23%,2.30,3000.14,0.46,60.02,0.69%,555442,10/23/2012 8:30:00 AM
244,"IVZ","Invesco Ltd.","Financial","Asset Management","USA",11139.65,15.94,12.03,1.27,2.76,1.36,7.72,15.55,2.76%,34.32%,1.57,56.18%,16.85%,5.73%,12.55%,4.74%,-13.67%,-5.70%,445.23,438.67,0.61%,17.78%,83.95%,-0.07%,0.82%,0.99,3.52%,8.77%,4.42%,1.35,,0.74,0.79,68.02%,21.60%,17.23%,-0.64%,-3.21%,12.91%,3.65%,46.32%,27.07%,1.84,0.47,1.82%,1.78%,-0.04%,2.51%,7.65%,-4.19%,11.61%,-5.25%,47.56%,53.45,0.00%,0.52%,1.90,3659.81,0.90,25.15,0.52%,1324749,11/01/2012
245,"JBL","Jabil Circuit Inc.","Technology","Printed Circuit Boards","USA",3616.45,9.41,6.01,0.82,0.21,1.72,2.97,50.73,1.82%,16.47%,1.87,8.25%,14.90%,39.49%,11.53%,6.89%,-24.58%,1.35%,205.48,188.90,2.19%,-12.79%,85.91%,0.10%,2.78%,1.62,5.33%,19.87%,11.17%,1.46,0.87,0.79,0.80,7.63%,3.63%,2.31%,0.51%,-21.39%,-12.96%,-22.02%,-8.90%,-9.51%,2.10,0.52,2.40%,2.62%,-5.58%,-15.71%,-18.56%,-25.80%,5.65%,-34.66%,5.65%,31.03,0.68%,0.28%,1.90,3245.32,0.86,17.77,0.97%,1122102,9/25/2012 4:30:00 PM
246,"JCI","Johnson Controls Inc.","Consumer Goods","Auto Parts","USA",17973.16,10.47,9.00,0.58,0.42,1.55,29.86,,2.74%,27.65%,2.51,7.59%,15.87%,6.13%,17.96%,4.84%,16.89%,2.09%,683.91,682.30,0.18%,6.03%,79.66%,0.07%,2.54%,3.09,6.12%,15.06%,9.75%,1.16,0.94,0.48,0.57,14.99%,5.24%,4.40%,-2.12%,-8.46%,-6.58%,-18.94%,-13.84%,-14.34%,1.80,0.59,1.89%,2.08%,-4.88%,-4.18%,-11.66%,-11.91%,4.82%,-26.12%,12.30%,35.88,-1.01%,0.19%,2.40,5599.79,0.59,26.07,-0.82%,1319440,10/22/2012
247,"JCP","J. C. Penney Company, Inc.","Services","Department Stores","USA",5722.37,,19.64,,0.37,1.56,6.44,,,,-2.50,-144.02%,392.59%,-28.56%,20.25%,-2.81%,-1134.27%,-22.63%,219.08,183.61,0.69%,12.67%,,0.24%,30.79%,6.13,-4.64%,-12.90%,-6.00%,1.91,0.70,0.79,0.86,34.11%,-4.19%,-3.46%,7.09%,-9.43%,32.52%,-22.88%,-11.91%,-24.83%,1.83,0.99,3.15%,3.93%,4.63%,3.10%,-13.06%,-19.66%,25.42%,-39.10%,37.19%,57.30,-0.19%,0.31%,2.70,9219.90,0.31,26.15,0.11%,1138529,11/7/2012 8:30:00 AM
248,"JDSU","JDS Uniphase Corporation","Technology","Communication Equipment","USA",2461.27,,10.71,,1.46,2.40,3.41,52.48,,,-0.25,-178.53%,33.33%,14.64%,10.50%,3.79%,-371.64%,-6.89%,229.81,229.12,0.20%,17.97%,80.02%,-0.09%,3.02%,1.23,-3.02%,-5.48%,-4.20%,2.00,1.74,0.00,0.28,42.21%,-1.85%,-3.43%,1.04%,-18.80%,15.29%,-19.41%,4.18%,2.59%,2.50,0.41,2.89%,3.42%,-6.40%,-6.83%,-7.41%,-19.63%,7.16%,-27.95%,29.04%,40.81,2.34%,-0.28%,2.10,5600.67,1.16,10.93,2.05%,2604431,8/14/2012 4:30:00 PM
249,"JEC","Jacobs Engineering Group Inc.","Services","Technical Services","USA",5277.82,14.27,12.29,1.05,0.49,1.44,5.87,31.32,,0.00%,2.85,33.05%,13.36%,9.73%,13.58%,6.94%,6.93%,1.05%,129.74,127.36,0.50%,,85.96%,0.12%,2.08%,3.47,5.99%,10.76%,8.56%,2.10,,0.14,0.14,15.76%,5.32%,3.46%,1.83%,-5.75%,5.94%,-7.25%,11.82%,0.25%,1.41,0.76,1.43%,1.70%,0.14%,0.78%,-0.43%,-6.47%,5.82%,-14.76%,22.17%,51.71,0.71%,0.22%,2.20,763.27,0.32,41.06,0.93%,98557,7/30/2012 4:30:00 PM
250,"JNJ","Johnson & Johnson","Healthcare","Drug Manufacturers - Major","USA",191752.14,22.15,12.69,3.31,2.96,3.17,11.34,30.42,3.51%,72.71%,3.14,-27.11%,8.09%,-1.37%,6.69%,4.05%,-49.59%,-0.74%,2757.04,2756.04,0.02%,1.85%,67.00%,0.14%,5.72%,14.61,7.67%,14.26%,9.55%,1.75,1.42,0.19,0.29,68.45%,17.74%,13.47%,1.67%,1.90%,1.16%,12.01%,13.11%,9.01%,0.54,0.68,0.99%,0.84%,2.03%,3.09%,7.78%,0.72%,5.16%,0.72%,18.36%,67.80,0.82%,0.26%,2.20,10783.93,2.12,70.30,1.08%,9156355,10/16/2012 8:30:00 AM
251,"JNPR","Juniper Networks, Inc.","Technology","Networking & Communication Devices","USA",9204.79,36.42,15.61,2.67,2.12,1.28,2.68,21.78,,,0.48,-31.59%,45.45%,0.80%,13.66%,14.07%,-48.67%,-4.18%,526.59,514.47,0.38%,9.28%,91.58%,-0.02%,3.94%,2.36,2.56%,3.58%,3.00%,2.91,2.84,0.14,0.14,62.60%,9.34%,5.86%,5.43%,-9.76%,14.92%,-17.39%,-14.31%,-14.36%,1.73,0.53,2.83%,2.75%,-0.06%,-4.33%,-10.49%,-14.00%,6.83%,-32.84%,22.77%,47.81,0.17%,-1.77%,2.70,8585.71,0.62,17.20,-1.60%,2144063,10/23/2012 4:30:00 PM
252,"JOY","Joy Global, Inc.","Industrial Goods","Farm & Construction Machinery","USA",6445.97,8.67,8.84,0.52,1.19,2.58,14.19,53.79,1.15%,9.94%,7.02,34.63%,-3.09%,11.97%,16.52%,12.89%,12.98%,22.21%,105.88,105.23,0.65%,,88.77%,0.13%,6.45%,2.66,13.35%,34.25%,19.95%,1.71,0.92,0.62,0.65,33.34%,21.16%,13.88%,5.47%,0.95%,17.85%,-19.67%,-18.77%,-18.13%,2.10,2.12,3.28%,3.30%,6.04%,8.56%,-7.44%,-3.31%,24.41%,-35.33%,29.54%,62.14,0.50%,0.64%,2.30,2553.06,0.32,61.58,1.14%,327101,8/29/2012 8:30:00 AM
253,"JPM","JPMorgan Chase & Co.","Financial","Money Center Banks","USA",162700.47,9.09,8.20,1.27,2.83,0.82,3.05,,2.80%,24.29%,4.71,13.05%,9.21%,3.26%,7.15%,0.73%,37.90%,-10.10%,3798.75,3778.13,0.13%,10.03%,72.88%,-2.53%,1.22%,1.82,0.84%,9.85%,,,,1.50,3.54,,28.16%,20.37%,3.50%,4.74%,23.43%,0.49%,42.10%,32.64%,1.33,0.86,2.05%,1.95%,5.38%,10.84%,14.21%,0.67%,20.11%,-4.55%,58.01%,73.14,1.09%,0.23%,2.10,25442.28,1.08,43.40,1.33%,10998931,10/12/2012 7:00:00 AM
254,"JWN","Nordstrom Inc.","Services","Apparel Stores","USA",11382.63,17.98,14.23,1.45,1.00,6.41,9.05,32.99,1.91%,31.29%,3.15,13.93%,14.37%,4.22%,12.38%,4.65%,-5.90%,7.08%,201.00,156.47,9.10%,-0.18%,61.32%,0.23%,2.89%,2.48,8.36%,34.80%,12.20%,2.15,1.58,1.71,1.71,38.97%,10.78%,5.87%,0.93%,-1.44%,7.56%,2.59%,15.50%,15.64%,1.65,0.98,1.74%,1.77%,1.63%,0.35%,7.46%,-3.08%,5.35%,-3.08%,30.71%,56.08,-0.16%,0.18%,2.40,1820.18,0.84,56.64,0.02%,612212,11/08/2012
255,"K","Kellogg Company","Consumer Goods","Processed & Packaged Goods","USA",18627.52,15.87,14.50,2.31,1.41,8.68,80.99,36.60,3.38%,51.99%,3.28,2.51%,8.46%,6.16%,6.86%,3.89%,-10.53%,2.60%,357.74,354.79,21.49%,-2.39%,79.42%,0.03%,1.77%,3.33,8.75%,51.07%,12.20%,0.70,0.43,2.80,3.85,40.55%,14.21%,8.92%,0.95%,3.17%,9.28%,-1.14%,-1.72%,5.60%,0.46,0.47,0.78%,0.88%,1.88%,3.23%,5.11%,0.69%,6.17%,-1.46%,14.65%,70.11,0.98%,0.15%,2.80,1887.55,0.67,52.66,1.13%,506711,11/1/2012 8:30:00 AM
256,"KEY","KeyCorp","Financial","Money Center Banks","USA",7792.98,9.28,9.60,1.68,2.83,0.77,10.87,20.56,2.42%,15.76%,0.89,94.72%,1.18%,-20.63%,5.53%,-11.69%,-8.67%,-8.82%,943.46,941.07,0.02%,5.60%,83.24%,0.51%,1.08%,0.82,1.00%,8.81%,,,,0.74,0.95,,28.98%,21.67%,-4.07%,-7.30%,6.17%,4.69%,35.41%,9.11%,0.92,0.18,2.29%,1.89%,-3.40%,-1.48%,5.18%,-7.68%,3.82%,-7.68%,38.48%,42.39,1.57%,0.36%,2.60,12392.76,1.87,8.42,1.94%,9301796,10/18/2012 8:30:00 AM
257,"KFT","Kraft Foods Inc.","Consumer Goods","Food - Major Diversified","USA",75458.12,21.05,16.29,2.18,1.39,2.08,16.25,49.48,2.73%,57.21%,2.02,38.60%,5.67%,3.10%,9.64%,10.33%,4.55%,-4.27%,1774.65,1773.20,0.03%,8.12%,73.88%,0.66%,0.73%,0.92,3.69%,9.57%,4.54%,1.24,0.85,0.78,0.84,35.09%,12.48%,6.67%,2.14%,3.58%,10.16%,12.46%,30.51%,16.40%,0.51,0.69,1.76%,1.65%,4.16%,5.04%,10.80%,-0.05%,15.29%,-0.05%,37.48%,67.73,0.00%,0.00%,1.80,14059.32,1.77,42.52,0.00%,0,8/2/2012 4:00:00 PM
258,"KIM","Kimco Realty Corporation","Financial","REIT - Retail","USA",8370.96,58.77,62.33,6.03,8.92,1.67,21.81,,3.69%,214.55%,0.35,54.43%,-8.33%,-28.31%,9.75%,7.44%,53.65%,6.93%,406.95,395.42,2.80%,-0.26%,97.65%,0.19%,5.23%,6.44,0.44%,2.87%,0.46%,,,0.84,0.84,72.90%,7.77%,4.65%,1.83%,-1.11%,7.02%,13.08%,43.95%,30.44%,1.79,0.27,1.08%,1.39%,1.23%,1.73%,9.49%,-2.24%,6.88%,-2.24%,46.60%,58.20,-0.39%,0.00%,2.40,3212.25,0.66,20.49,-0.39%,845318,7/31/2012 4:30:00 PM
259,"KLAC","KLA-Tencor Corporation","Technology","Semiconductor Equipment & Materials","USA",7724.05,10.41,9.24,1.04,2.44,2.33,3.05,11.87,3.45%,30.89%,4.45,-4.73%,21.01%,11.21%,10.00%,3.04%,1.59%,0.00%,166.79,166.24,0.39%,54.70%,92.12%,0.21%,4.89%,3.70,15.47%,24.48%,18.82%,4.83,4.07,0.23,0.23,58.72%,32.04%,23.83%,-0.34%,-10.68%,-4.18%,-12.14%,10.29%,-1.91%,1.77,1.01,2.12%,1.95%,-1.96%,-8.40%,-6.76%,-15.08%,2.80%,-15.88%,13.80%,35.60,-0.15%,-0.63%,2.30,2198.72,1.62,45.95,-0.78%,1426463,10/25/2012
260,"KMB","Kimberly-Clark Corporation","Consumer Goods","Personal Products","USA",34221.17,19.09,15.59,2.33,1.62,6.29,34.43,75.05,3.42%,63.09%,4.54,-10.25%,7.34%,4.21%,8.20%,4.48%,21.91%,0.19%,394.89,394.01,0.10%,-4.82%,69.58%,-0.04%,2.16%,3.85,8.63%,32.73%,12.28%,1.28,0.82,1.15,1.25,32.68%,12.94%,8.21%,0.69%,4.38%,1.58%,16.65%,26.46%,21.22%,0.31,0.78,0.94%,0.85%,1.69%,4.01%,12.17%,0.28%,8.46%,-0.10%,33.02%,70.51,0.74%,0.10%,2.60,2210.67,0.35,87.39,0.84%,309497,10/24/2012 8:30:00 AM
261,"KMI","Kinder Morgan, Inc.","Basic Materials","Oil & Gas Pipelines","USA",36841.34,61.24,27.32,1.78,4.56,2.83,54.58,,3.94%,117.57%,0.58,175.38%,58.54%,0.00%,34.41%,,59.78%,11.01%,1037.20,437.15,5.90%,-2.67%,94.60%,0.29%,1.93%,1.37,1.22%,8.39%,1.60%,0.87,0.82,2.38,2.61,47.07%,19.77%,7.41%,1.25%,-1.99%,1.37%,-2.84%,30.93%,13.59%,,0.49,1.43%,1.30%,0.58%,0.75%,4.23%,-2.51%,6.06%,-9.60%,37.10%,54.25,0.08%,0.45%,2.10,6154.12,0.71,35.71,0.53%,1751159,03/07/2011
262,"KMX","CarMax Inc.","Services","Auto Dealerships","USA",7598.78,18.76,16.60,1.60,0.74,2.57,16.57,,,0.00%,1.77,8.55%,9.29%,14.37%,11.70%,6.03%,-0.01%,6.58%,228.81,227.62,0.24%,1.85%,99.88%,0.04%,5.87%,6.56,4.96%,15.03%,5.29%,3.73,1.45,1.78,1.85,11.41%,6.44%,3.99%,5.03%,4.01%,24.15%,4.63%,21.78%,8.96%,1.41,0.93,2.69%,2.84%,11.43%,10.53%,11.41%,0.48%,19.61%,-4.63%,35.08%,70.47,1.24%,-0.24%,2.00,2034.30,1.56,33.54,0.99%,1270380,09/20/2012
263,"KO","The Coca-Cola Company","Consumer Goods","Beverages - Soft Drinks","USA",170622.77,20.05,17.23,2.61,3.59,5.29,10.06,46.58,2.69%,50.82%,1.89,-27.10%,10.00%,11.29%,7.68%,14.08%,1.05%,2.73%,4501.92,4275.81,0.50%,1.81%,63.22%,0.05%,0.65%,1.65,10.63%,25.86%,15.42%,1.11,0.97,0.51,1.01,60.32%,22.33%,18.49%,-1.71%,-1.17%,-1.46%,3.61%,16.36%,10.62%,0.50,0.47,1.18%,1.21%,-0.61%,-0.72%,3.69%,-5.55%,3.06%,-5.95%,20.72%,44.16,-0.11%,0.34%,2.00,16967.80,0.91,37.99,0.24%,6194681,10/16/2012 8:30:00 AM
264,"KR","The Kroger Co.","Services","Grocery Stores","USA",12889.02,22.62,9.54,2.44,0.14,3.39,54.16,45.54,2.46%,42.10%,1.08,-41.99%,6.67%,-8.15%,9.28%,6.45%,10.11%,3.89%,527.59,493.42,0.62%,9.00%,82.58%,-0.54%,3.58%,3.03,2.62%,13.39%,4.29%,0.78,0.26,1.79,2.14,20.59%,1.43%,0.66%,3.78%,2.60%,11.71%,5.08%,11.45%,2.39%,0.38,0.43,2.20%,1.49%,5.70%,8.68%,8.78%,0.68%,15.95%,0.68%,19.83%,75.03,2.17%,0.20%,2.20,5827.60,2.66,25.01,2.37%,6216261,11/29/2012
265,"KSS","Kohl's Corp.","Services","Department Stores","USA",12300.05,12.40,10.26,1.08,0.65,1.99,20.50,17.93,2.44%,27.17%,4.23,17.65%,11.09%,5.39%,11.53%,3.81%,-6.63%,-1.01%,234.51,217.31,0.99%,-41.84%,93.83%,-1.50%,6.13%,4.37,7.63%,15.98%,9.40%,1.70,0.37,0.67,0.68,37.32%,10.60%,5.63%,3.66%,-1.59%,6.63%,3.57%,6.95%,7.77%,0.85,0.98,1.58%,1.83%,2.33%,1.71%,7.89%,-2.51%,5.47%,-5.05%,23.60%,57.75,0.34%,0.32%,2.20,3053.16,0.87,52.80,0.67%,1060856,11/08/2012
266,"L","Loews Corporation","Financial","Property & Casualty Insurance","USA",16654.76,19.67,11.86,,1.19,0.85,122.46,5.61,0.59%,11.72%,2.14,-15.80%,42.00%,-2.81%,,0.41%,-76.95%,-4.35%,395.60,310.66,2.82%,0.72%,59.02%,0.04%,0.57%,1.99,1.88%,4.44%,,,,0.46,0.47,,13.35%,10.26%,0.72%,-0.45%,2.78%,6.50%,19.26%,12.36%,1.19,0.51,1.05%,1.13%,2.11%,3.26%,6.76%,-0.96%,7.36%,-0.96%,20.80%,63.88,0.47%,0.36%,1.80,890.76,0.49,42.45,0.83%,176278,10/29/2012 8:30:00 AM
267,"LEG","Leggett & Platt, Incorporated","Consumer Goods","Home Furnishings & Fixtures","USA",3583.64,23.17,15.73,1.54,0.97,2.68,14.08,24.82,4.55%,100.31%,1.10,-9.90%,15.71%,-3.77%,15.00%,-3.15%,15.83%,-0.68%,140.59,138.62,2.17%,0.99%,73.45%,-0.06%,6.78%,5.52,5.13%,11.56%,6.69%,1.60,1.00,0.61,0.77,18.45%,6.66%,4.40%,1.92%,2.29%,19.56%,12.99%,24.22%,14.87%,1.16,0.45,2.02%,1.79%,3.89%,7.23%,17.42%,1.21%,14.76%,1.21%,35.95%,68.59,1.17%,0.35%,2.30,1701.15,0.75,25.88,1.53%,511380,10/29/2012 4:30:00 PM
268,"LEN","Lennar Corp.","Industrial Goods","Residential Construction","USA",7123.64,13.67,23.04,1.30,1.92,2.18,9.32,,0.43%,5.25%,2.73,-4.97%,-44.71%,-33.38%,10.50%,-28.24%,268.35%,34.09%,190.88,161.79,3.14%,4.17%,,0.08%,21.34%,6.73,6.07%,19.38%,6.63%,,,1.31,1.31,8.89%,3.48%,15.09%,1.41%,3.96%,22.97%,46.64%,157.56%,90.99%,1.76,1.16,3.09%,3.35%,6.69%,13.58%,38.23%,1.47%,32.70%,1.47%,171.66%,66.34,2.16%,1.74%,2.60,5129.94,1.59,38.79,3.94%,3271985,9/24/2012 8:30:00 AM
269,"LH","Laboratory Corp. of America Holdings","Healthcare","Medical Laboratories & Research","USA",8915.82,15.89,12.45,1.30,1.59,3.38,71.67,12.77,,0.00%,5.85,-3.60%,7.33%,9.50%,12.23%,9.07%,30.84%,1.43%,95.90,95.62,0.29%,-6.71%,,-0.16%,7.09%,8.88,9.64%,22.43%,11.29%,1.48,1.32,0.75,0.80,40.48%,18.69%,10.53%,0.09%,1.83%,-0.72%,2.53%,15.81%,8.14%,0.57,1.38,1.78%,1.45%,-2.55%,-0.27%,1.08%,-4.52%,3.64%,-5.52%,14.88%,40.92,-1.19%,-1.99%,2.80,763.57,2.57,90.04,-3.15%,786052,10/18/2012 8:30:00 AM
