"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (Year)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date"
21,"AIZ","Assurant Inc.","Financial","Accident & Health Insurance","USA",3284.55,8.75,7.05,0.80,0.52,0.66,2.97,5.42,2.07%,12.85%,4.63,120.50%,-10.71%,-0.17%,11.00%,0.50%,16.23%,3.22%,81.08,80.46,1.47%,12.24%,,-0.19%,5.75%,5.36,1.48%,8.09%,,,,0.19,0.19,,11.80%,6.35%,4.01%,7.45%,17.73%,4.84%,14.40%,0.30%,1.31,0.61,1.47%,1.42%,5.54%,10.57%,7.94%,-0.44%,21.43%,-7.55%,25.75%,74.24,0.00%,0.00%,3.00,863.31,0.54,40.51,0.00%,186713,10/24/2012 4:30:00 PM
22,"AKAM","Akamai Technologies, Inc.","Technology","Internet Information Providers","USA",6867.22,37.24,19.96,2.72,5.47,3.11,13.83,22.78,,0.00%,1.04,18.54%,11.49%,25.74%,13.71%,22.00%,-3.44%,19.61%,177.31,172.04,0.69%,26.99%,81.81%,-0.03%,3.75%,2.36,7.83%,8.55%,8.35%,4.56,,0.00,0.00,67.70%,22.55%,15.11%,0.96%,-0.28%,29.45%,0.83%,60.04%,19.98%,0.87,0.88,2.27%,2.16%,0.32%,1.97%,11.95%,-4.17%,10.34%,-4.17%,72.12%,53.54,0.03%,-0.26%,2.20,2729.69,0.32,38.64,-0.23%,349342,10/24/2012
23,"ALL","The Allstate Corporation","Financial","Property & Casualty Insurance","USA",20085.80,10.03,9.35,1.18,0.61,1.03,35.18,11.44,2.12%,20.53%,4.13,-11.94%,0.45%,-28.09%,8.50%,-1.82%,171.81%,2.44%,484.93,484.42,0.04%,11.50%,77.56%,0.02%,1.90%,2.46,1.63%,10.87%,,,,0.31,0.31,,8.94%,6.27%,1.32%,4.10%,21.72%,27.13%,76.33%,54.09%,1.45,0.52,1.29%,1.29%,2.93%,6.62%,22.60%,-0.30%,12.53%,-0.30%,77.35%,68.72,0.20%,0.14%,2.30,3740.77,0.36,41.56,0.35%,541924,10/31/2012 4:30:00 PM
24,"ALTR","Altera Corp.","Technology","Semiconductor - Specialized","USA",10723.72,17.93,16.04,1.37,5.86,3.38,3.59,20.53,1.19%,16.85%,1.87,-5.67%,18.08%,21.74%,13.10%,9.94%,-23.13%,-15.24%,319.92,318.99,0.18%,21.01%,93.46%,0.44%,2.07%,1.74,13.97%,20.24%,16.19%,6.17,5.92,0.16,0.16,69.39%,34.85%,33.38%,1.61%,-11.23%,5.77%,-12.46%,-2.56%,-9.01%,1.16,0.74,2.18%,2.21%,-0.83%,-5.37%,-5.92%,-12.76%,6.15%,-18.27%,14.39%,45.93,1.87%,-0.87%,2.30,3794.81,0.95,33.85,0.98%,1439005,10/23/2012 4:30:00 PM
25,"ALXN","Alexion Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",21572.52,110.63,42.33,2.90,22.68,12.31,26.76,69.32,,0.00%,1.01,75.18%,39.68%,76.38%,38.13%,246.97%,1.24%,47.94%,193.06,190.62,1.42%,-9.27%,97.86%,0.16%,2.64%,4.46,10.75%,14.46%,12.71%,3.40,3.15,0.10,0.13,88.22%,31.05%,20.55%,0.40%,0.01%,11.62%,23.66%,68.77%,56.28%,0.58,2.27,1.78%,2.01%,0.34%,4.40%,21.38%,-4.35%,13.70%,-4.35%,84.36%,57.92,2.33%,0.00%,1.90,1128.60,0.76,114.34,2.33%,341589,10/18/2012
26,"AMAT","Applied Materials Inc.","Technology","Semiconductor Equipment & Materials","USA",13860.00,13.49,15.14,1.40,1.50,1.66,6.40,9.15,3.21%,40.09%,0.83,108.26%,2.78%,8.37%,9.67%,2.79%,-51.96%,-15.93%,1237.50,1234.38,0.39%,44.66%,77.24%,-0.15%,1.48%,1.48,7.88%,12.79%,9.94%,2.44,1.86,0.23,0.23,38.67%,13.67%,11.67%,2.75%,-6.20%,5.66%,-3.95%,1.27%,6.97%,1.22,0.20,1.71%,1.69%,0.09%,-3.12%,-2.65%,-7.54%,2.86%,-18.11%,12.84%,45.72,0.45%,-0.80%,2.60,12319.45,1.20,11.16,-0.36%,5920300,8/15/2012 4:30:00 PM
27,"AMD","Advanced Micro Devices, Inc.","Technology","Semiconductor - Broad Line","USA",1896.26,,9.24,,0.30,1.71,1.20,5.58,,,-0.86,3.82%,31.82%,-22.75%,6.61%,3.14%,-40.30%,-10.23%,707.56,706.06,0.19%,73.61%,81.62%,0.02%,20.14%,6.06,-12.26%,-45.61%,-19.06%,1.37,1.02,1.37,1.81,34.39%,-4.61%,-9.86%,-17.54%,-33.17%,-45.19%,-66.37%,-42.61%,-50.37%,2.21,0.17,4.74%,4.62%,-16.80%,-26.13%,-53.45%,-39.71%,1.32%,-67.72%,1.32%,25.69,1.32%,-0.75%,2.90,23484.02,1.22,2.69,0.56%,11439611,10/18/2012 4:30:00 PM
28,"AMGN","Amgen Inc.","Healthcare","Biotechnology","USA",67858.59,18.85,12.80,1.71,4.13,3.52,3.02,15.32,1.64%,26.76%,4.67,-15.78%,8.52%,10.25%,11.05%,1.78%,28.88%,13.08%,770.77,769.81,0.14%,-10.01%,80.01%,-0.01%,1.65%,3.00,7.74%,17.11%,8.87%,3.68,3.36,1.14,1.27,83.49%,28.91%,23.34%,3.06%,7.25%,11.06%,32.35%,58.32%,39.17%,0.43,1.31,1.72%,1.45%,5.65%,6.81%,22.38%,1.54%,11.10%,1.54%,66.51%,70.87,1.84%,-0.12%,2.40,4229.31,1.02,89.55,1.72%,1735299,10/23/2012 5:00:00 PM
29,"AMP","Ameriprise Financial Inc.","Financial","Asset Management","USA",12199.16,13.53,8.78,1.18,1.20,1.37,3.73,8.24,2.42%,23.66%,4.28,7.92%,18.95%,12.68%,11.50%,4.36%,-21.87%,-4.18%,210.73,210.27,0.22%,-2.11%,88.70%,-0.07%,0.83%,1.47,0.67%,11.12%,0.74%,,,0.85,0.90,71.70%,12.53%,8.91%,1.03%,-0.77%,11.76%,8.71%,44.80%,18.77%,1.97,1.05,1.78%,1.64%,3.25%,5.02%,11.05%,-2.70%,10.83%,-2.70%,49.11%,63.33,1.52%,0.12%,2.20,1188.47,0.81,58.84,1.64%,385638,10/24/2012 4:30:00 PM
30,"AMT","American Tower Corporation","Technology","Diversified Communication Services","USA",29542.16,65.58,36.83,3.72,11.03,8.81,57.76,34.49,1.23%,67.10%,1.14,7.35%,35.33%,72.45%,17.61%,13.15%,-58.01%,16.83%,395.16,394.93,0.03%,-20.20%,93.20%,0.17%,0.89%,1.42,3.55%,13.26%,3.95%,1.01,,2.19,2.22,74.68%,38.11%,15.71%,4.36%,5.36%,7.00%,17.38%,37.07%,25.80%,0.56,1.25,2.26%,1.68%,3.84%,4.91%,12.25%,-2.22%,8.58%,-2.22%,41.94%,62.39,0.55%,-0.86%,1.90,2468.70,0.85,74.53,-0.31%,844469,10/31/2012 7:00:00 AM
